module	genome_name	db_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings
M00001	cora_Basidiomycota	cora_Basidiomycota	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"	0.5555555555555556	False	0.6	False	NA	No enzymes unique to module	NA	K00873,K00873,K00927,K01624,K01689,K01810,K15633,K15633,K15633	28076,28074,2995,20394,26887,8739,6861,6859,6860	K01810 is present in multiple modules: M00001/M00004/M00892/M00909,K15633 is present in multiple modules: M00001/M00002/M00003,K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K00873 is present in multiple modules: M00001/M00002,K01689 is present in multiple modules: M00001/M00002/M00003/M00346
M00002	cora_Basidiomycota	cora_Basidiomycota	Glycolysis, core module involving three-carbon compounds	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"	0.6	False	0.6666666666666666	False	NA	No enzymes unique to module	NA	K00873,K00873,K00927,K01689,K15633,K15633,K15633	28076,28074,2995,26887,6861,6859,6860	K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K00873 is present in multiple modules: M00001/M00002,K15633 is present in multiple modules: M00001/M00002/M00003
M00003	cora_Basidiomycota	cora_Basidiomycota	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)"	0.7142857142857143	False	0.75	True	NA	No enzymes unique to module	NA	K00927,K01610,K01624,K01689,K03841,K03841,K15633,K15633,K15633	2995,28270,20394,26887,4946,4947,6861,6859,6860	K15633 is present in multiple modules: M00001/M00002/M00003,K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612,K03841 is present in multiple modules: M00003/M00165/M00167/M00344/M00611/M00612,K01610 is present in multiple modules: M00003/M00170,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K01689 is present in multiple modules: M00001/M00002/M00003/M00346
M00009	cora_Basidiomycota	cora_Basidiomycota	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942) (K01681,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	0.125	False	0.125	False	NA	No enzymes unique to module	NA	K00031	26346	K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614
M00010	cora_Basidiomycota	cora_Basidiomycota	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942) (K01681,K01682) (K00031,K00030)"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00031	26346	K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614
M00004	cora_Basidiomycota	cora_Basidiomycota	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 ((K00616 (K01810,K06859,K15916)),K13810)"	0.0	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K01810	8739	K01810 is present in multiple modules: M00001/M00004/M00892/M00909
M00005	cora_Basidiomycota	cora_Basidiomycota	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00948"	1.0	True	1.0	True	1.0	K00948	4	K00948,K00948,K00948,K00948	19675,4297,19676,19677	None
M00308	cora_Basidiomycota	cora_Basidiomycota	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K05308 K00874 K01625 (K00134 K00927,K00131,K18978)"	0.0	False	0.2	False	NA	No enzymes unique to module	NA	K00927	2995	K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612
M00632	cora_Basidiomycota	cora_Basidiomycota	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01785 K00849 K00965 K01784"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K00965	23582	K00965 is present in multiple modules: M00632/M00554
M00552	cora_Basidiomycota	cora_Basidiomycota	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01684 K00883 K01631 K00134 K00927"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K00927	2995	K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612
