"Sample"	"sample.id"	"description"	"site"	"host_genus"	"host_species"	"host_species_ITS"	"latitude"	"longitude"	"Type"	"S.obs"	"S.chao1"	"se.chao1"	"S.ACE"	"se.ACE"	"data_shannon"	"data_evenness"
"1"	"Sample1"	"Sample1"	"Cora 5"	"Paramo del Verjon"	"Cora"	"cora"	"Cora_paraciferrii"	""	""	"Folioso"	87	116,25	15,0388886013197	112,395283458184	5,36266543034655	2,44420258796605	0,547302479815102
"2"	"Sample100"	"Sample100"	"Stereocaulon tomentosum 4"	"Volcan de Cerro Machin"	"Stereocaulon"	"tomentosum"	"Stereocaulon_atlanticum"	""	""	"Fruticoso/Escamuloso"	93	94,3636363636364	1,7365617561167	95,3695645629826	4,82759394011795	3,8138358098879	0,841423517707424
"3"	"Sample101"	"Sample101"	"Sticta andina 2"	"Volcan de Cerro Machin"	"Sticta"	"andina"	"Sticta_sp"	"4.486324"	"-75.390939"	"Folioso"	204	224,307692307692	9,33342511081102	219,80530339162	5,99571787608805	4,01620474964045	0,755192578258718
"4"	"Sample103"	"Sample103"	"Sticta andina 1"	"Volcan de Cerro Machin"	"Sticta"	"andina"	"Sticta_sp"	"4.486324"	"-75.390939"	"Folioso"	194	203,558823529412	5,175906262922	207,090690718705	6,15980813857369	4,15756608239977	0,789232731190132
"5"	"Sample105"	"Sample105"	"Sticta humboldtii 1"	"Paramo de Sumapaz"	"Sticta"	"humboldtii"	"Sticta_arachnofuliginosa"	"4.327186"	"-74.207131"	"Folioso"	110	115	4,13290695160721	114,901208118812	5,18335883566258	3,94122978100357	0,838473831246213
"6"	"Sample106"	"Sample106"	"Sticta humboldtii 2"	"Paramo de Sumapaz"	"Sticta"	"humboldtii"	"Sticta_arachnofuliginosa"	"4.327186"	"-74.207131"	"Folioso"	103	106,6	3,35600137302711	107,015645524489	5,00961588991974	3,50566505390823	0,7563905166432
"7"	"Sample107"	"Sample107"	"Sticta humboldtii 4"	"Paramo de Sumapaz"	"Sticta"	"humboldtii"	"Sticta_macrofuliginosa"	"4.300793"	"-74.211337"	"Folioso"	99	103,090909090909	3,59528353165586	103,032085366673	4,69445083741981	3,38022740072984	0,735612456469625
"8"	"Sample108"	"Sample108"	"Sticta gyalocarpa 1"	"Paramo de Sumapaz"	"Sticta"	"gyalocarpa"	"Sticta_gyalocarpa"	"4.327186"	"-74.207131"	"Folioso"	149	161,794117647059	6,32827982056949	167,246942834212	5,27953776318486	2,56664293648041	0,512923756482127
"9"	"Sample109"	"Sample109"	"Sticta gyalocarpa 2"	"Paramo de Sumapaz"	"Sticta"	"gyalocarpa"	"Sticta_gyalocarpa"	"4.323409"	"-74.205844"	"Folioso"	148	168	10,5619785178555	160,318502085644	5,67528088205422	3,8842487169432	0,777283113894502
"10"	"Sample110"	"Sample110"	"Sticta gyalocarpa 3"	"Paramo de Sumapaz"	"Sticta"	"gyalocarpa"	"Sticta_gyalocarpa"	"4.322795"	"-74.206467"	"Folioso"	132	151,25	10,8690556870309	142,844620909093	5,41943946040137	3,42724615246946	0,701901532522967
