sample-id	description	site	host_genus	host_species	host_species_ITS	latitude	longitude	Type
Sample1	Cora 5	Paramo del Verjon	Cora	cora	Cora_paraciferrii	4.55533	-73.99525	Folioso
Sample4	Sticta impressula 2	Paramo del Verjon	Sticta	impressula	Sticta_sylvatica	4.55533	-73.99525	Folioso
Sample5	Stereocaulon pomiferum 1	Paramo del Verjon	Stereocaulon	pomiferum	Stereocaulon_atlanticum	4.54783	-73.99619	Fruticoso/Escamuloso
Sample8	Sticta andina 3	Paramo del Verjon	Sticta	andina	Sticta_sp	4.55781	-73.99769	Folioso
Sample9	Cora 4	Paramo del Verjon	Cora	cora	Cora_paraciferrii	4.55561	-73.99528	Folioso
Sample13	Stereocaulon ramulosum 2	Paramo del Verjon	Stereocaulon	ramulosum	Stereocaulon_atlanticum	4.54783	-73.99619	Fruticoso/Escamuloso
Sample14	Sticta impressula 1	Paramo del Verjon	Sticta	impressula	Sticta_sylvatica	4.55481	-73.99442	Folioso
Sample15	Sticta gyalocarpa 4	Paramo del Verjon	Sticta	gyalocarpa	Sticta_gyalocarpa	4.55944	-73.99894	Folioso
Sample20	Sticta andina 1	Paramo del Verjon	Sticta	andina	Sticta_sp	4.55944	-73.99894	Folioso
Sample21	Cora 2	Paramo del Verjon	Cora	cora	Cora_paraciferrii	4.55781	-73.99769	Folioso
Sample22	Sticta gyalocarpa 3	Paramo del Verjon	Sticta	gyalocarpa	Sticta_gyalocarpa	4.55944	-73.99894	Folioso
Sample23	Cora 3	Paramo del Verjon	Cora	cora	Cora_paraciferrii	4.55561	-73.99528	Folioso
Sample26	Stereocaulon ramulosum 1	Paramo del Verjon	Stereocaulon	ramulosum	Stereocaulon_atlanticum	4.54783	-73.99619	Fruticoso/Escamuloso
Sample27	Stereocaulon sp.	Paramo del Verjon	Stereocaulon	stereocaulon	Stereocaulon_atlanticum	4.54783	-73.99619	Fruticoso/Escamuloso
Sample28	Stereocaulon ramulosum 4	Paramo del Verjon	Stereocaulon	ramulosum	Stereocaulon_atlanticum	4.54783	-73.99619	Fruticoso/Escamuloso
Sample29	Sticta gyalocarpa 5	Paramo del Verjon	Sticta	gyalocarpa	Sticta_gyalocarpa	4.55944	-73.99894	Folioso
Sample30	Sticta impressula 3	Paramo del Verjon	Sticta	impressula	Sticta_sylvatica	4.55533	-73.99525	Folioso
Sample31	Sticta andina 2	Paramo del Verjon	Sticta	andina	Sticta_sp	4.55944	-73.99894	Folioso
Sample32	Sustrato de Cora 5	Paramo del Verjon	Sustrato	sustrato	Cora_paraciferrii_sustrato	4.55533	-73.99525	Folioso
Sample33	Cora 8	Paramo del Verjon	Cora	cora	Cora_paraciferrii	4.55481	-73.99442	Folioso
Sample34	Cora 6	Paramo del Verjon	Cora	cora	Cora_paraciferrii	4.55533	-73.99525	Folioso
Sample35	Cora 7	Paramo del Verjon	Cora	cora	Cora_paraciferrii	4.55481	-73.99442	Folioso
Sample37	Sticta humboldtii 4	Paramo del Verjon	Sticta	humboldtii	Sticta_arachnofuliginosa	4.55533	-73.99525	Folioso
Sample38	Sticta gyalocarpa 2	Paramo del Verjon	Sticta	gyalocarpa	Sticta_gyalocarpa	4.55944	-73.99894	Folioso
Sample39	Sticta gyalocarpa 1	Paramo del Verjon	Sticta	gyalocarpa	Sticta_gyalocarpa	4.55944	-73.99894	Folioso
Sample40	Sticta humboldtii 1	Paramo del Verjon	Sticta	humboldtii	Sticta_arachnofuliginosa	4.55533	-73.99525	Folioso
Sample41	Sticta humboldtii 2	Paramo del Verjon	Sticta	humboldtii	Sticta_arachnofuliginosa	4.55533	-73.99525	Folioso
Sample42	Sticta humboldtii 3	Paramo del Verjon	Sticta	humboldtii	Sticta_arachnofuliginosa	4.55533	-73.99525	Folioso
Sample43	Sustrato de Sticta humboldtii 1	Paramo del Verjon	Sustrato	sustrato	Sticta_arachnofuliginosa_sustrato	4.55533	-73.99525	Folioso
Sample45	Stereocaulon ramulosum 5	Paramo del Verjon	Stereocaulon	ramulosum	Stereocaulon_atlanticum	4.54783	-73.99619	Fruticoso/Escamuloso
Sample47	Cora 1	Paramo del Verjon	Cora	cora	Cora_paraciferrii	4.55781	-73.99769	Folioso
Sample49	Stereocaulon tomentosum 2	Paramo del Verjon	Stereocaulon	tomentosum	Stereocaulon_sp	4.54783	-73.99619	Fruticoso/Escamuloso
Sample51	Stereocaulon ramulosum 3	Paramo de Chingaza	Stereocaulon	ramulosum	Stereocaulon_atlanticum	4.73161	-73.89019	Fruticoso/Escamuloso
