Feature ID	Domain	Phylum	Class	Order	Family	Genus	Species
9b81d12ff232ce3d66390fd5d3b962f3	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Nostocaceae	g__Nostoc_PCC-7107	s__Scytonema_sp.
0442c83b5e94cc299714181b0da6abba	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Mitochondria	g__Mitochondria	s__Lepraria_oxybapha
bb6d0238f8821f58fbf1e3d21999d811	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Nostocaceae	g__Nostoc_PCC-73102	
8d03ec4c84f000f885ea5c9749167417	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Mitochondria	g__Mitochondria	s__Lepraria_oxybapha
2525a4588caad40aa0c9d34c8dabef50	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Mitochondria	g__Mitochondria	s__Lepraria_oxybapha
e30a18a35a1f9658b1081c39b23871ba	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	
05597dcce08bdb92fb4509fcce951bb1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Chloroplast	f__Chloroplast	g__Chloroplast	s__Castanea_mollissima
b404144754a06385f2516abd9586b1ca	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Nostocaceae	g__Nostoc_PCC-7107	s__Scytonema_sp.
d99b2ab24cdcdb19ac88626f956c1cd3	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Nostocaceae	g__Nostoc_PCC-73102	
28591afeef0f652fc2975456320e1a93	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	
437c3a7f3416b6bb1b7d0e4612cbb2e4	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Nostocaceae	g__Nostoc_PCC-7107	s__Scytonema_sp.
8fac898b8c359b4bdc97c8e9aaf7a7d7	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__LD29	s__uncultured_bacterium
b6231e9a31aa6bedb8ba91d350fbd989	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Nostocaceae	g__Nostoc_PCC-73102	
7ea13aa31bbed72b9e088e2f65cc87da	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__uncultured_Caulobacteraceae	
fb94ee59e2039766efe63fddd4902889	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__unidentified_Beijerinckiaceae	
13b8fb800882f3747590f7bd465631be	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__unidentified_Caulobacteraceae	
9e29f3905f876eee17b30b7afe9dec4e	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	
b74ec0877ad41f8b49b398bda4dc3e51	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium-Methylorubrum	s__Methylobacterium_cerastii
d79b2731e447d59cbd1cb0c6d5038fec	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Polymorphobacter	s__Polymorphobacter_sp.
7075eed8f9b62566c2607d582e50d592	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Nostocaceae	g__Nostoc_PCC-73102	
408baef5bd2e7f305e015c41ac7cc4fb	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Nostocaceae	g__Nostoc_PCC-73102	
237f0729ece4a2c495484c327b67eeba	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__LD29	s__uncultured_bacterium
a894ac6b5f509b330f984353a618c88a	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae_(Subgroup_1)	g__Terriglobus	
333fdf36752a58cea3aba382959e464d	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium-Methylorubrum	
d3d5bc4700ed61fc05668688d1f6113a	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Chloroplast	f__Chloroplast	g__Chloroplast	
ad43145e1fd06fb911dd75b1bfcd53c6	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__1174-901-12	s__uncultured_bacterium
3caadcb39fb9adab85881d3bdaf62331	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__unidentified_Caulobacteraceae	
6fd6da3b07bf6d1845d631fd98d2eb73	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__unidentified_Caulobacteraceae	
3755dbf2ba36d9f42552afba5203a2e9	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Nostocaceae	g__Nostoc_PCC-73102	
58e1b851b177f401053fdaa9583819dc	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae_(Subgroup_1)	g__Terriglobus	
99bf6bb2b52d3515e4bdf1fa4057c503	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Nostocaceae	g__Nostoc_PCC-73102	
4644777ae6e152b516581fae261707cb	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__unidentified_Caulobacteraceae	
e50e969443726b0910d838432a7db523	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Acidiphilium	
