"A"	"B"	"geo_dist"	"bray.c"	"sites_comparison"
"Sample100"	"Sample92"	0	0.774011299435028	"Volcan de Cerro Machin - Volcan de Cerro Machin"
"Sample100"	"Sample95"	0	0.748344370860927	"Volcan de Cerro Machin - Volcan de Cerro Machin"
"Sample100"	"Sample97"	0	0.858823529411765	"Volcan de Cerro Machin - Volcan de Cerro Machin"
"Sample100"	"Sample96"	0	0.707317073170732	"Volcan de Cerro Machin - Volcan de Cerro Machin"
"Sample100"	"Sample85"	168.037743600869	0.932203389830508	"Paramo de Chingaza - Volcan de Cerro Machin"
"Sample100"	"Sample86"	168.037743600869	0.922480620155039	"Paramo de Chingaza - Volcan de Cerro Machin"
"Sample100"	"Sample99"	0	0.833333333333333	"Volcan de Cerro Machin - Volcan de Cerro Machin"
"Sample100"	"Sample93"	0	0.737931034482759	"Volcan de Cerro Machin - Volcan de Cerro Machin"
"Sample100"	"Sample89"	0	0.888	"Volcan de Cerro Machin - Volcan de Cerro Machin"
"Sample100"	"Sample90"	0	0.666666666666667	"Volcan de Cerro Machin - Volcan de Cerro Machin"
"Sample100"	"Sample51"	154.690215155139	0.892857142857143	"Paramo de Chingaza - Volcan de Cerro Machin"
"Sample100"	"Sample27"	154.690215155139	0.935483870967742	"Paramo del Verjon - Volcan de Cerro Machin"
"Sample100"	"Sample91"	0	0.770833333333333	"Volcan de Cerro Machin - Volcan de Cerro Machin"
"Sample100"	"Sample139"	132.545717999144	0.844311377245509	"Paramo de Sumapaz - Volcan de Cerro Machin"
"Sample100"	"Sample13"	154.690215155139	0.763440860215054	"Paramo del Verjon - Volcan de Cerro Machin"
"Sample100"	"Sample45"	154.690215155139	0.884816753926702	"Paramo del Verjon - Volcan de Cerro Machin"
"Sample100"	"Sample28"	154.690215155139	0.9	"Paramo del Verjon - Volcan de Cerro Machin"
"Sample100"	"Sample26"	154.690215155139	0.863945578231292	"Paramo del Verjon - Volcan de Cerro Machin"
"Sample100"	"Sample100"	0	0	"Volcan de Cerro Machin - Volcan de Cerro Machin"
"Sample100"	"Sample140"	132.545717999144	0.895424836601307	"Paramo de Sumapaz - Volcan de Cerro Machin"
"Sample100"	"Sample5"	154.132246053519	0.928571428571429	"Paramo del Verjon - Volcan de Cerro Machin"
"Sample100"	"Sample80"	168.037743600869	0.882352941176471	"Paramo de Chingaza - Volcan de Cerro Machin"
"Sample13"	"Sample93"	154.690215155139	0.83448275862069	"Volcan de Cerro Machin - Paramo del Verjon"
"Sample13"	"Sample97"	154.690215155139	0.898039215686275	"Volcan de Cerro Machin - Paramo del Verjon"
"Sample13"	"Sample85"	21.8818263961512	0.779661016949153	"Paramo de Chingaza - Paramo del Verjon"
"Sample13"	"Sample91"	154.690215155139	0.770833333333333	"Volcan de Cerro Machin - Paramo del Verjon"
"Sample13"	"Sample51"	0	0.738095238095238	"Paramo de Chingaza - Paramo del Verjon"
"Sample13"	"Sample95"	154.690215155139	0.867549668874172	"Volcan de Cerro Machin - Paramo del Verjon"
"Sample13"	"Sample86"	21.8818263961512	0.844961240310077	"Paramo de Chingaza - Paramo del Verjon"
"Sample13"	"Sample140"	37.200281624814	0.790849673202614	"Paramo de Sumapaz - Paramo del Verjon"
"Sample13"	"Sample90"	154.690215155139	0.872549019607843	"Volcan de Cerro Machin - Paramo del Verjon"
"Sample13"	"Sample28"	0	0.785714285714286	"Paramo del Verjon - Paramo del Verjon"
"Sample13"	"Sample100"	154.690215155139	0.763440860215054	"Volcan de Cerro Machin - Paramo del Verjon"
"Sample13"	"Sample139"	37.200281624814	0.568862275449102	"Paramo de Sumapaz - Paramo del Verjon"
"Sample13"	"Sample89"	154.690215155139	0.930666666666667	"Volcan de Cerro Machin - Paramo del Verjon"
"Sample13"	"Sample5"	0.596018139003482	0.814285714285714	"Paramo del Verjon - Paramo del Verjon"
"Sample13"	"Sample99"	154.690215155139	0.846153846153846	"Volcan de Cerro Machin - Paramo del Verjon"
"Sample13"	"Sample26"	0	0.700680272108844	"Paramo del Verjon - Paramo del Verjon"
"Sample13"	"Sample13"	0	0	"Paramo del Verjon - Paramo del Verjon"
"Sample13"	"Sample92"	154.690215155139	0.853107344632768	"Volcan de Cerro Machin - Paramo del Verjon"
"Sample13"	"Sample80"	21.8818263961512	0.8	"Paramo de Chingaza - Paramo del Verjon"
"Sample13"	"Sample96"	154.690215155139	0.865853658536585	"Volcan de Cerro Machin - Paramo del Verjon"
"Sample13"	"Sample27"	0	0.883870967741936	"Paramo del Verjon - Paramo del Verjon"
"Sample13"	"Sample45"	0	0.81151832460733	"Paramo del Verjon - Paramo del Verjon"
"Sample139"	"Sample97"	132.545717999144	0.949152542372881	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample139"	"Sample85"	58.9529047779035	0.696969696969697	"Paramo de Chingaza - Paramo de Sumapaz"
"Sample139"	"Sample5"	36.9835997872937	0.818181818181818	"Paramo del Verjon - Paramo de Sumapaz"
"Sample139"	"Sample93"	132.545717999144	0.873015873015873	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample139"	"Sample100"	132.545717999144	0.844311377245509	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample139"	"Sample91"	132.545717999144	0.791907514450867	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample139"	"Sample86"	58.9529047779035	0.836363636363636	"Paramo de Chingaza - Paramo de Sumapaz"
"Sample139"	"Sample28"	37.200281624814	0.818181818181818	"Paramo del Verjon - Paramo de Sumapaz"
"Sample139"	"Sample96"	132.545717999144	0.903448275862069	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample139"	"Sample140"	0	0.746268656716418	"Paramo de Sumapaz - Paramo de Sumapaz"
"Sample139"	"Sample90"	132.545717999144	0.902702702702703	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample139"	"Sample92"	132.545717999144	0.89873417721519	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample139"	"Sample99"	132.545717999144	0.897810218978102	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample139"	"Sample139"	0	0	"Paramo de Sumapaz - Paramo de Sumapaz"
"Sample139"	"Sample89"	132.545717999144	0.966292134831461	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample139"	"Sample26"	37.200281624814	0.671875	"Paramo del Verjon - Paramo de Sumapaz"
"Sample139"	"Sample51"	37.200281624814	0.718120805369127	"Paramo de Chingaza - Paramo de Sumapaz"
"Sample139"	"Sample95"	132.545717999144	0.924242424242424	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample139"	"Sample13"	37.200281624814	0.568862275449102	"Paramo del Verjon - Paramo de Sumapaz"
"Sample139"	"Sample27"	37.200281624814	0.838235294117647	"Paramo del Verjon - Paramo de Sumapaz"
"Sample139"	"Sample45"	37.200281624814	0.802325581395349	"Paramo del Verjon - Paramo de Sumapaz"
"Sample139"	"Sample80"	58.9529047779035	0.774834437086093	"Paramo de Chingaza - Paramo de Sumapaz"
"Sample140"	"Sample85"	58.9529047779035	0.741176470588235	"Paramo de Chingaza - Paramo de Sumapaz"
"Sample140"	"Sample89"	132.545717999144	0.970760233918129	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample140"	"Sample97"	132.545717999144	0.954954954954955	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample140"	"Sample51"	37.200281624814	0.703703703703704	"Paramo de Chingaza - Paramo de Sumapaz"
"Sample140"	"Sample93"	132.545717999144	0.875	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample140"	"Sample91"	132.545717999144	0.874213836477987	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample140"	"Sample90"	132.545717999144	0.906432748538012	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample140"	"Sample86"	58.9529047779035	0.791666666666667	"Paramo de Chingaza - Paramo de Sumapaz"
"Sample140"	"Sample96"	132.545717999144	0.893129770992366	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample140"	"Sample28"	37.200281624814	0.850467289719626	"Paramo del Verjon - Paramo de Sumapaz"
"Sample140"	"Sample92"	132.545717999144	0.930555555555556	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample140"	"Sample100"	132.545717999144	0.895424836601307	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample140"	"Sample99"	132.545717999144	0.902439024390244	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample140"	"Sample5"	36.9835997872937	0.869158878504673	"Paramo del Verjon - Paramo de Sumapaz"
"Sample140"	"Sample26"	37.200281624814	0.649122807017544	"Paramo del Verjon - Paramo de Sumapaz"
"Sample140"	"Sample139"	0	0.746268656716418	"Paramo de Sumapaz - Paramo de Sumapaz"
"Sample140"	"Sample13"	37.200281624814	0.790849673202614	"Paramo del Verjon - Paramo de Sumapaz"
"Sample140"	"Sample80"	58.9529047779035	0.737226277372263	"Paramo de Chingaza - Paramo de Sumapaz"
"Sample140"	"Sample95"	132.545717999144	0.915254237288136	"Volcan de Cerro Machin - Paramo de Sumapaz"
"Sample140"	"Sample45"	37.200281624814	0.835443037974684	"Paramo del Verjon - Paramo de Sumapaz"
"Sample140"	"Sample140"	0	0	"Paramo de Sumapaz - Paramo de Sumapaz"
