MicrobialSpecies	Sticta_gyalocarpa	Sticta_andina	Sticta_brevior	Sticta_parahumboldtii	Sticta_pseudohumboldtii	Sticta_rhizinata	Sticta_sylvatica
f__Acetobacteraceae Family	0.00207211944756782	0	0.00675809571740874	0.00234466588511137	0.00496496760181089	0	0
f__Beijerinckiaceae Family	0.0736031509452323	0.0663514604926639	0.0477884209043527	0.126964685117843	0.0787603706170896	0.0560975609756098	0.0583367983367983
g__Abditibacterium	0.00533223380762027	0	0	0.000567536889897843	0	0	0
g__Acidiphilium	0.0186179946626001	0	0.00806594909513835	0.0394707767097558	0.0178831806222517	0.0146341463414634	0.00561167227833894
g__Amnibacterium	0.0028657223904522	0	0.00781112910422693	0.00290292677537316	0.000435161009573542	0	0
g__Fimbriimonadaceae	0.00646505657223035	0.0022883295194508	0.0202822556099329	0.00460284268825501	0.00813317702371721	0.0118483412322275	0.0105659809607178
g__Granulicella	0.00433094384707288	0.0223522423522424	0.00629299515463301	0.0171858155704744	0.0207456507193041	0.00947867298578199	0.00968684302017635
g__LD29	0.0840401983153177	0.150389885684003	0.172271762688974	0.235481501200489	0.13182022153908	0.198717948717949	0.161098161098161
g__Limnobacter	0.00868746468076534	0	0.0121463284211189	0.00577544500949406	0.00286274696652055	0.0165876777251185	0.0111070500324886
g__Methylobacterium-Methylorubrum	0.0498413978494624	0.0835458141283384	0.0414494999295675	0.0530197874345231	0.0475765633694303	0.0576923076923077	0.0483104549771216
g__Mucilaginibacter	0.0125913247436568	0.0205916004845874	0.0169189061365134	0.0221093745397562	0.00784206491969049	0.0707317073170732	0.0935377163447339
g__Nakamurella	0.00592623906933778	0	0.00431956103597895	0	0	0	0
g__Nostoc_PCC-73102	0.352289788938432	0	0.34696348077194	0	0.267298731192455	0	0
g__Polymorphobacter	0.0127700575398979	0.0022883295194508	0.013840594888982	0.0219214539596939	0.0288160043873768	0.014218009478673	0.0316478011105204
g__Sphingomonas	0.099637574644698	0.168200149365198	0.0523068452877735	0.0632254669203776	0.048258841117641	0.336492890995261	0.081999481999482
g__Terriglobus	0.0226696100073583	0.034181240063593	0.0210293397294056	0.0686673549093916	0.0313788477396645	0.0592417061611374	0.056244187000766
g__uncultured_Caulobacteraceae	0.0238483553946842	0.0091533180778032	0.0264027636537656	0.021597534711887	0.0771190962447793	0.032051282051282	0.0205592105263158
g__unidentified_Acetobacteraceae	0.0198230483271375	0.00336700336700337	0.0089592347299445	0.0320447656243828	0.0164045611206176	0.0023696682464455	0.00826984626326732
g__unidentified_Beijerinckiaceae	0.0354525386313466	0.0697959992077639	0.0214783200670297	0.0347243215700143	0.0531171372658652	0.0341463414634146	0.0353755197505198
g__unidentified_Caulobacteraceae	0.0107322415592861	0.0343272943272943	0.0419061493178473	0.123272647062428	0.0417345229412489	0.0734597156398104	0.202411642411642
g__unidentified_Comamonadaceae	0	0.0389819004524887	0.00400854001855842	0	0	0.0118483412322275	0.00575657894736842
g__unidentified_Rhizobiales	0.00462344821856678	0.0181431840470742	0.030826140567201	0.0218432490794828	0.0398046993278023	0.028436018957346	0.00986842105263158
g__unidentified_Sphingomonadaceae	0.0133605568445476	0.0311044944912222	0.0144547253490315	0.00116144018583043	0.000870322019147084	0.0219512195121951	0.0192054655870445
