Sticta_humboldtii	Sticta_gyalocarpa	Sticta_andina	Sticta_impressula
c__Alphaproteobacteria	0.47078947368421	0.331052631578947	0.334736842105263	0.387894736842105
c__Cyanobacteriia	0.226842105263158	0.293684210526315	0.186315789473684	0.205789473684211
c__Verrucomicrobiae	0.146842105263158	0.0905263157894736	0.124473684210526	0.108421052631579
c__Bacteroidia	0.0471052631578947	0.115526315789474	0.117631578947369	0.0807894736842105
c__Gammaproteobacteria	0.00473684210526316	0.0118421052631579	0.03	0.02
c__Acidobacteriae	0.0644736842105263	0.0207894736842105	0.0478947368421053	0.0394736842105264
c__Actinobacteria	0.00210526315789474	0.0131578947368421	0.0302631578947369	0.00657894736842105
c__Polyangia	0.00210526315789474	0.005	0.0178947368421053	0.00578947368421052
c__WPS-2	0	0	0.000526315789473684	0.00157894736842105
c__Armatimonadia	0.00736842105263158	0.00342105263157895	0.00210526315789474	0.00605263157894737
c__Thermoleophilia	0	0.000526315789473684	0.00947368421052633	0
c__Ktedonobacteria	0	0	0.00157894736842105	0.000789473684210527
c__Abditibacteria	0.00157894736842105	0.00631578947368421	0.00342105263157895	0.00236842105263158
c__Fimbriimonadia	0.00289473684210527	0.00289473684210527	0.00394736842105263	0.00657894736842106
c__Blastocatellia	0	0.000526315789473684	0.000789473684210525	0.000789473684210527
c__Planctomycetes	0.00210526315789474	0.00184210526315789	0.00473684210526316	0.00342105263157895
c__Phycisphaerae	0.00368421052631579	0.00210526315789474	0.00921052631578947	0.00552631578947368
c__Vampirivibrionia	0	0	0.00157894736842105	0.000263157894736842
c__Oligoflexia	0	0.00105263157894737	0.00157894736842105	0
c__Bdellovibrionia	0.000526315789473684	0.000263157894736842	0.00184210526315789	0.000263157894736842
c__Chthonomonadetes	0.000789473684210527	0	0.000526315789473684	0.000263157894736842
c__Gemmatimonadetes	0	0	0	0
c__unclassified_Proteobacteria	0	0	0	0
c__Sericytochromatia	0	0.000526315789473684	0.000263157894736842	0.000263157894736842
c__Myxococcia	0	0	0.00105263157894737	0.000263157894736842
c__Deinococci	0	0	0	0
c__SAR324_clade(Marine_group_B)	0	0	0	0
c__Lineage_IIa	0	0	0	0
c__Vicinamibacteria	0	0	0	0
c__unclassified_Myxococcota	0	0	0	0
c__Acidimicrobiia	0	0	0	0
c__Anaerolineae	0	0	0	0
c__Babeliae	0	0	0	0
c__Chloroflexia	0	0	0	0
c__SJA-28	0	0	0	0
c__Thermoanaerobaculia	0	0	0	0
c__vadinHA49	0	0	0	0
c__Chlamydiae	0	0	0	0
c__Microgenomatia	0	0	0	0
c__Bacilli	0	0	0	0
c__Holophagae	0	0	0	0
c__Parcubacteria	0	0	0	0
c__Rhodothermia	0	0	0	0
c__Sumerlaeia	0	0	0	0
c__Gracilibacteria	0	0	0	0
