Sticta_humboldtii	Sticta_gyalocarpa	Sticta_andina	Sticta_impressula
f__Nostocaceae	0.226842105263158	0.293684210526315	0.186315789473684	0.205789473684211
f__Chthoniobacteraceae	0.144210526315789	0.0860526315789474	0.108157894736842	0.0965789473684212
f__Beijerinckiaceae	0.202368421052632	0.119210526315789	0.118157894736842	0.123421052631579
f__Sphingomonadaceae	0.071578947368421	0.102631578947369	0.108157894736842	0.0889473684210526
f__Caulobacteraceae	0.0805263157894737	0.0328947368421053	0.0260526315789473	0.066578947368421
f__Spirosomaceae	0.00552631578947368	0.0255263157894737	0.0126315789473685	0.0189473684210526
f__Acetobacteraceae	0.0555263157894737	0.0355263157894737	0.0207894736842106	0.0355263157894737
f__Sphingobacteriaceae	0.0178947368421053	0.026578947368421	0.0326315789473685	0.0397368421052632
f__Acidobacteriaceae_(Subgroup_1)	0.0634210526315789	0.0207894736842105	0.0381578947368421	0.0392105263157895
f__Chitinophagaceae	0.00131578947368421	0.0171052631578947	0.0460526315789473	0.0123684210526316
f__Rhodanobacteraceae	0	0	0.00315789473684211	0.000526315789473685
f__unidentified_Rhizobiales	0.0231578947368421	0.00263157894736842	0.00184210526315789	0.01
f__WPS-2	0	0	0.000526315789473684	0.00157894736842105
f__Armatimonadales	0.00736842105263158	0.00342105263157895	0.00210526315789474	0.00605263157894737
f__Hymenobacteraceae	0.00763157894736842	0.023421052631579	0.00263157894736842	0.0068421052631579
f__Comamonadaceae	0	0.00315789473684211	0.0102631578947368	0.00789473684210527
f__Methylacidiphilaceae	0.000526315789473684	0.000789473684210527	0.00868421052631579	0.00473684210526316
f__67-14	0	0	0.00421052631578948	0
f__Polyangiaceae	0.00184210526315789	0.00157894736842105	0.00421052631578948	0.00342105263157895
f__Micropepsaceae	0	0	0.00210526315789474	0
f__Abditibacteriaceae	0.00157894736842105	0.00631578947368421	0.00342105263157895	0.00236842105263158
f__Xanthobacteraceae	0	0	0.00473684210526316	0.00157894736842105
f__Fimbriimonadaceae	0.00289473684210527	0.00289473684210527	0.00394736842105263	0.00657894736842106
f__Blastocatellaceae	0	0.000526315789473684	0.000789473684210525	0.000789473684210527
f__Burkholderiaceae	0.00157894736842105	0.00631578947368422	0.00315789473684211	0.00631578947368421
f__Frankiaceae	0	0.000789473684210527	0.00473684210526316	0
f__Haliangiaceae	0	0.00184210526315789	0.00500000000000001	0.00131578947368421
f__Microbacteriaceae	0.000789473684210527	0.00210526315789474	0.00447368421052632	0.00105263157894737
f__Pseudonocardiaceae	0	0.00131578947368421	0.00578947368421053	0
f__Isosphaeraceae	0	0	0.000526315789473685	0
f__Devosiaceae	0	0	0.000526315789473685	0.000789473684210525
f__WD2101_soil_group	0.00263157894736842	0.00210526315789474	0.00894736842105263	0.005
f__Gemmataceae	0.00105263157894737	0.00157894736842105	0.00368421052631579	0.00342105263157895
f__env.OPS_17	0	0	0.00184210526315789	0
f__Solirubrobacteraceae	0	0	0.00394736842105263	0
f__Inquilinaceae	0.00236842105263158	0.000526315789473684	0.00131578947368421	0.000526315789473684
f__Solibacteraceae	0	0	0.00552631578947368	0
f__Bryobacteraceae	0	0	0.00131578947368421	0
f__Diplorickettsiaceae	0	0	0.00184210526315789	0.000789473684210527
f__WD260	0	0	0.005	0.00184210526315789
f__Labraceae	0	0	0.000263157894736842	0
f__Rhizobiaceae	0	0	0.00184210526315789	0.00263157894736842
f__SM2D12	0.000789473684210527	0.00184210526315789	0.00368421052631579	0.00236842105263158
o__Gammaproteobacteria_Incertae_Sedis Order	0	0	0.000526315789473685	0
f__Mycobacteriaceae	0	0	0.00236842105263158	0
f__Nakamurellaceae	0	0.00315789473684211	0.00368421052631579	0.00105263157894737
o__Micavibrionales Order	0	0.000263157894736842	0	0
f__Obscuribacteraceae	0	0	0.00157894736842105	0
o__Elsterales Order	0	0	0.000789473684210527	0.000263157894736842
f__Flavobacteriaceae	0	0	0.000789473684210525	0
o__Rhodospirillales Order	0	0	0.000789473684210527	0.00105263157894737
f__BIrii41	0	0	0.000526315789473685	0
f__Bdellovibrionaceae	0.000526315789473684	0.000263157894736842	0.00184210526315789	0.000263157894736842
f__C0119	0	0	0.00157894736842105	0.000526315789473684
f__Chthonomonadaceae	0.000789473684210527	0	0.000526315789473684	0.000263157894736842
f__Legionellaceae	0	0	0.000526315789473685	0
f__Microscillaceae	0	0	0.000526315789473684	0
f__Phaselicystidaceae	0	0.000789473684210527	0.00131578947368421	0
f__Sericytochromatia	0	0.000526315789473684	0.000263157894736842	0.000263157894736842
f__Myxococcaceae	0	0	0.00105263157894737	0.000263157894736842
f__0319-6G20	0	0.000526315789473684	0.00105263157894737	0
f__Micavibrionaceae	0.000789473684210527	0.000526315789473684	0	0
f__Reyranellaceae	0	0	0.00157894736842105	0
f__Nocardioidaceae	0	0	0.000789473684210527	0
f__Opitutaceae	0	0	0.000526315789473684	0
f__unclassified_Bacteroidia	0	0	0.00105263157894737	0
f__Tepidisphaeraceae	0	0.000526315789473684	0	0
f__Kaistiaceae	0	0	0	0.000263157894736842
