Sticta_humboldtii	Sticta_gyalocarpa	Sticta_andina	Sticta_impressula
g__Nostoc_PCC-73102	0.226842105263158	0.293421052631578	0.186315789473684	0.205789473684211
g__LD29	0.112105263157894	0.0718421052631578	0.0844736842105265	0.0839473684210527
g__Sphingomonas	0.0563157894736842	0.0802631578947368	0.0907894736842108	0.0692105263157895
g__unidentified_Caulobacteraceae	0.0339473684210526	0.0102631578947368	0.0121052631578948	0.0302631578947369
f__Beijerinckiaceae Family	0.096578947368421	0.068421052631579	0.0573684210526316	0.0626315789473685
g__Mucilaginibacter	0.0178947368421053	0.0255263157894737	0.0310526315789474	0.0397368421052632
g__uncultured_Caulobacteraceae	0.026578947368421	0.0113157894736842	0.00105263157894737	0.00657894736842105
g__Spirosoma	0.00342105263157895	0.0223684210526316	0.0126315789473685	0.00763157894736843
g__Granulicella	0.0263157894736842	0.0081578947368421	0.0242105263157895	0.0218421052631579
g__Methylobacterium-Methylorubrum	0.0357894736842106	0.0278947368421052	0.025	0.0255263157894737
g__Terriglobus	0.026578947368421	0.0110526315789474	0.0110526315789474	0.0144736842105264
g__unidentified_Beijerinckiaceae	0.0468421052631579	0.0202631578947369	0.02	0.0152631578947369
g__Aurantisolimonas	0	0.00578947368421052	0.00631578947368422	0.00157894736842105
g__unidentified_Chthoniobacteraceae	0.0171052631578947	0	0	0
g__unidentified_Rhizobiales	0.0231578947368421	0.00263157894736842	0.00184210526315789	0.01
g__Acidiphilium	0.0397368421052632	0.0194736842105263	0.00921052631578947	0.0213157894736842
g__Polymorphobacter	0.0123684210526315	0.0102631578947369	0.00210526315789474	0.00605263157894737
f__Caulobacteraceae Family	0.00921052631578947	0.005	0.0110526315789474	0.0123684210526315
g__Rhodanobacter	0	0	0.00236842105263158	0
g__Ferruginibacter	0	0.00131578947368421	0.00631578947368421	0
g__WPS-2	0	0	0.000526315789473684	0.00157894736842105
g__Armatimonadales	0.00736842105263158	0.00342105263157895	0.00210526315789474	0.00605263157894737
g__unidentified_Acetobacteraceae	0.0126315789473684	0.00894736842105266	0.00157894736842105	0.00421052631578947
g__Chthoniobacter	0.00184210526315789	0.00289473684210527	0.0176315789473684	0.00789473684210527
g__Hymenobacter	0.00763157894736842	0.023421052631579	0.00263157894736842	0.0068421052631579
f__Chitinophagaceae Family	0	0.00184210526315789	0.00631578947368421	0.000526315789473685
g__unidentified_Comamonadaceae	0	0.00315789473684211	0.0102631578947368	0.00789473684210527
f__Methylacidiphilaceae Family	0.000526315789473684	0.000789473684210527	0.00868421052631579	0.00473684210526316
g__67-14	0	0	0.00421052631578948	0
g__Huanghella	0.000526315789473684	0.00289473684210527	0	0.00236842105263158
f__Micropepsaceae Family	0	0	0.00210526315789474	0
g__Abditibacterium	0.00157894736842105	0.00631578947368421	0.00342105263157895	0.00236842105263158
g__Fimbriimonadaceae	0.00289473684210527	0.00289473684210527	0.00289473684210527	0.00657894736842106
g__Blastocatella	0	0.000526315789473684	0.000789473684210525	0.000789473684210527
g__unidentified_Sphingomonadaceae	0.00105263157894737	0.005	0.00552631578947368	0.00342105263157895
g__Brevundimonas	0.00210526315789474	0	0	0.00210526315789474
g__Limnobacter	0.00157894736842105	0.00631578947368422	0.00105263157894737	0.00552631578947368
g__Amnibacterium	0.000789473684210527	0.00210526315789474	0.00447368421052632	0.00105263157894737
g__Haliangium	0	0.00184210526315789	0.00500000000000001	0.00131578947368421
g__Jatrophihabitans	0	0.000789473684210527	0.00447368421052632	0
g__Edaphobaculum	0.00105263157894737	0.00578947368421052	0.011578947368421	0.00315789473684211
f__Acetobacteraceae Family	0.00447368421052632	0.00157894736842105	0.00289473684210527	0.00447368421052632
