Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	11.0000	0.8718	0.8683
2	16.0000	1.2680	1.2629
3	12.0000	0.9510	0.9472
4	14.0000	1.1095	1.1051
5	11.0000	0.8718	0.8683
6	10.0000	0.7925	0.7893
7	12.0000	0.9510	0.9472
8	6.0000	0.4755	0.4736
9	12.0000	0.9510	0.9472
10	11.0000	0.8718	0.8683
11	9.0000	0.7133	0.7104
12	12.0000	0.9510	0.9472
13	10.0000	0.7925	0.7893
14	12.0000	0.9510	0.9472
15	12.0000	0.9510	0.9472
16	10.0000	0.7925	0.7893
17	12.0000	0.9510	0.9472
18	10.0000	0.7925	0.7893
19	9.0000	0.7133	0.7104
20	8.0000	0.6340	0.6315
21	10.0000	0.7925	0.7893
22	8.0000	0.6340	0.6315
23	12.0000	0.9510	0.9472
24	12.0000	0.9510	0.9472
25	7.0000	0.5548	0.5525
26	12.0000	0.9510	0.9472
27	3.0000	0.2378	0.2368
28	14.0000	1.1095	1.1051
29	14.0000	1.1095	1.1051
30	9.0000	0.7133	0.7104
31	14.0000	1.1095	1.1051
32	9.0000	0.7133	0.7104
33	14.0000	1.1095	1.1051
34	10.0000	0.7925	0.7893
35	10.0000	0.7925	0.7893
36	12.0000	0.9510	0.9472
37	12.0000	0.9510	0.9472
38	13.0000	1.0303	1.0261
39	11.0000	0.8718	0.8683
40	9.0000	0.7133	0.7104
41	12.0000	0.9510	0.9472
42	10.0000	0.7925	0.7893
43	8.0000	0.6340	0.6315
44	14.0000	1.1095	1.1051
45	12.0000	0.9510	0.9472
46	16.0000	1.2680	1.2629
47	14.0000	1.1095	1.1051
48	12.0000	0.9510	0.9472
49	14.0000	1.1095	1.1051
50	12.0000	0.9510	0.9472
51	12.0000	0.9510	0.9472
52	10.0000	0.7925	0.7893
53	11.0000	0.8718	0.8683
54	9.0000	0.7133	0.7104
55	7.0000	0.5548	0.5525
56	14.0000	1.1095	1.1051
57	8.0000	0.6340	0.6315
58	11.0000	0.8718	0.8683
59	10.0000	0.7925	0.7893
60	12.0000	0.9510	0.9472
61	13.0000	1.0303	1.0261
62	8.0000	0.6340	0.6315
63	7.0000	0.5548	0.5525
64	11.0000	0.8718	0.8683
65	14.0000	1.1095	1.1051
66	14.0000	1.1095	1.1051
67	10.0000	0.7925	0.7893
68	14.0000	1.1095	1.1051
69	10.0000	0.7925	0.7893
70	6.0000	0.4755	0.4736
71	11.0000	0.8718	0.8683
72	8.0000	0.6340	0.6315
73	8.0000	0.6340	0.6315
74	10.0000	0.7925	0.7893
75	7.0000	0.5548	0.5525
76	10.0000	0.7925	0.7893
77	14.0000	1.1095	1.1051
78	10.0000	0.7925	0.7893
79	6.0000	0.4755	0.4736
80	10.0000	0.7925	0.7893
81	11.0000	0.8718	0.8683
82	14.0000	1.1095	1.1051
83	14.0000	1.1095	1.1051
84	14.0000	1.1095	1.1051
85	14.0000	1.1095	1.1051
86	10.0000	0.7925	0.7893
87	8.0000	0.6340	0.6315
88	14.0000	1.1095	1.1051
89	10.0000	0.7925	0.7893
90	14.0000	1.1095	1.1051
91	12.0000	0.9510	0.9472
92	12.0000	0.9510	0.9472
