Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	9.0000	1.2212	1.2013
2	9.0000	1.2212	1.2013
3	7.0000	0.9498	0.9343
4	8.0000	1.0855	1.0678
5	8.0000	1.0855	1.0678
6	6.0000	0.8141	0.8009
7	7.0000	0.9498	0.9343
8	3.0000	0.4071	0.4004
9	8.0000	1.0855	1.0678
10	8.0000	1.0855	1.0678
11	7.0000	0.9498	0.9343
12	9.0000	1.2212	1.2013
13	7.0000	0.9498	0.9343
14	9.0000	1.2212	1.2013
15	9.0000	1.2212	1.2013
16	7.0000	0.9498	0.9343
17	10.0000	1.3569	1.3348
18	7.0000	0.9498	0.9343
19	7.0000	0.9498	0.9343
20	4.0000	0.5427	0.5339
21	6.0000	0.8141	0.8009
22	4.0000	0.5427	0.5339
23	4.0000	0.5427	0.5339
24	8.0000	1.0855	1.0678
25	5.0000	0.6784	0.6674
26	9.0000	1.2212	1.2013
27	0.0000	0.0000	0.0000
28	8.0000	1.0855	1.0678
29	8.0000	1.0855	1.0678
30	6.0000	0.8141	0.8009
31	9.0000	1.2212	1.2013
32	6.0000	0.8141	0.8009
33	10.0000	1.3569	1.3348
34	7.0000	0.9498	0.9343
35	8.0000	1.0855	1.0678
36	6.0000	0.8141	0.8009
37	9.0000	1.2212	1.2013
38	8.0000	1.0855	1.0678
39	7.0000	0.9498	0.9343
40	5.0000	0.6784	0.6674
41	8.0000	1.0855	1.0678
42	6.0000	0.8141	0.8009
43	6.0000	0.8141	0.8009
44	8.0000	1.0855	1.0678
45	9.0000	1.2212	1.2013
46	9.0000	1.2212	1.2013
47	8.0000	1.0855	1.0678
48	7.0000	0.9498	0.9343
49	8.0000	1.0855	1.0678
50	8.0000	1.0855	1.0678
51	7.0000	0.9498	0.9343
52	7.0000	0.9498	0.9343
53	7.0000	0.9498	0.9343
54	4.0000	0.5427	0.5339
55	4.0000	0.5427	0.5339
56	9.0000	1.2212	1.2013
57	4.0000	0.5427	0.5339
58	8.0000	1.0855	1.0678
59	7.0000	0.9498	0.9343
60	8.0000	1.0855	1.0678
61	9.0000	1.2212	1.2013
62	6.0000	0.8141	0.8009
63	6.0000	0.8141	0.8009
64	8.0000	1.0855	1.0678
65	9.0000	1.2212	1.2013
66	7.0000	0.9498	0.9343
67	8.0000	1.0855	1.0678
68	9.0000	1.2212	1.2013
69	6.0000	0.8141	0.8009
70	5.0000	0.6784	0.6674
71	8.0000	1.0855	1.0678
72	5.0000	0.6784	0.6674
73	5.0000	0.6784	0.6674
74	6.0000	0.8141	0.8009
75	6.0000	0.8141	0.8009
76	7.0000	0.9498	0.9343
77	3.0000	0.4071	0.4004
78	7.0000	0.9498	0.9343
79	5.0000	0.6784	0.6674
80	7.0000	0.9498	0.9343
81	8.0000	1.0855	1.0678
82	9.0000	1.2212	1.2013
83	10.0000	1.3569	1.3348
84	9.0000	1.2212	1.2013
85	9.0000	1.2212	1.2013
86	6.0000	0.8141	0.8009
87	5.0000	0.6784	0.6674
88	8.0000	1.0855	1.0678
89	7.0000	0.9498	0.9343
90	9.0000	1.2212	1.2013
91	9.0000	1.2212	1.2013
92	9.0000	1.2212	1.2013
93	6.0000	0.8141	0.8009
94	8.0000	1.0855	1.0678
95	9.0000	1.2212	1.2013
96	6.0000	0.8141	0.8009
97	6.0000	0.8141	0.8009
98	5.0000	0.6784	0.6674
99	5.0000	0.6784	0.6674
100	9.0000	1.2212	1.2013
101	0.0000	0.0000	0.0000
102	8.0000	1.0855	1.0678
103	9.0000	1.2212	1.2013
104	7.0000	0.9498	0.9343
105	9.0000	1.2212	1.2013
106	6.0000	0.8141	0.8009
107	9.0000	1.2212	1.2013
108	9.0000	1.2212	1.2013
109	5.0000	0.6784	0.6674
110	9.0000	1.2212	1.2013
111	9.0000	1.2212	1.2013
112	6.0000	0.8141	0.8009
113	7.0000	0.9498	0.9343
114	8.0000	1.0855	1.0678
115	7.0000	0.9498	0.9343
116	7.0000	0.9498	0.9343
117	7.0000	0.9498	0.9343
118	9.0000	1.2212	1.2013
119	8.0000	1.0855	1.0678
120	6.0000	0.8141	0.8009
121	9.0000	1.2212	1.2013
122	7.0000	0.9498	0.9343
123	7.0000	0.9498	0.9343
124	9.0000	1.2212	1.2013
125	9.0000	1.2212	1.2013
126	10.0000	1.3569	1.3348
127	5.0000	0.6784	0.6674
128	9.0000	1.2212	1.2013
129	6.0000	0.8141	0.8009
130	3.0000	0.4071	0.4004
131	6.0000	0.8141	0.8009
132	8.0000	1.0855	1.0678
133	9.0000	1.2212	1.2013
134	6.0000	0.8141	0.8009
135	7.0000	0.9498	0.9343
136	8.0000	1.0855	1.0678
137	9.0000	1.2212	1.2013
138	7.0000	0.9498	0.9343
139	7.0000	0.9498	0.9343
140	6.0000	0.8141	0.8009
141	8.0000	1.0855	1.0678
142	9.0000	1.2212	1.2013
143	7.0000	0.9498	0.9343
144	9.0000	1.2212	1.2013
145	10.0000	1.3569	1.3348
146	9.0000	1.2212	1.2013
147	8.0000	1.0855	1.0678
148	9.0000	1.2212	1.2013
149	9.0000	1.2212	1.2013
150	6.0000	0.8141	0.8009
151	8.0000	1.0855	1.0678
152	3.0000	0.4071	0.4004
153	6.0000	0.8141	0.8009
154	7.0000	0.9498	0.9343
155	8.0000	1.0855	1.0678
156	10.0000	1.3569	1.3348
157	4.0000	0.5427	0.5339
158	6.0000	0.8141	0.8009
159	8.0000	1.0855	1.0678
160	6.0000	0.8141	0.8009
161	9.0000	1.2212	1.2013
162	4.0000	0.5427	0.5339
163	9.0000	1.2212	1.2013
164	4.0000	0.5427	0.5339
165	7.0000	0.9498	0.9343
166	9.0000	1.2212	1.2013
167	6.0000	0.8141	0.8009
168	5.0000	0.6784	0.6674
169	9.0000	1.2212	1.2013
170	6.0000	0.8141	0.8009
171	7.0000	0.9498	0.9343
172	8.0000	1.0855	1.0678
173	8.0000	1.0855	1.0678
174	9.0000	1.2212	1.2013
175	8.0000	1.0855	1.0678
176	5.0000	0.6784	0.6674
177	9.0000	1.2212	1.2013
178	10.0000	1.3569	1.3348
179	6.0000	0.8141	0.8009
180	4.0000	0.5427	0.5339
181	7.0000	0.9498	0.9343
182	7.0000	0.9498	0.9343
183	8.0000	1.0855	1.0678
184	8.0000	1.0855	1.0678
185	8.0000	1.0855	1.0678
186	5.0000	0.6784	0.6674
187	6.0000	0.8141	0.8009
188	9.0000	1.2212	1.2013
189	7.0000	0.9498	0.9343
190	8.0000	1.0855	1.0678
191	9.0000	1.2212	1.2013
192	8.0000	1.0855	1.0678
193	7.0000	0.9498	0.9343
194	6.0000	0.8141	0.8009
195	6.0000	0.8141	0.8009
196	8.0000	1.0855	1.0678
197	8.0000	1.0855	1.0678
198	9.0000	1.2212	1.2013
199	9.0000	1.2212	1.2013
200	6.0000	0.8141	0.8009
201	9.0000	1.2212	1.2013
202	4.0000	0.5427	0.5339
203	6.0000	0.8141	0.8009
204	6.0000	0.8141	0.8009
205	9.0000	1.2212	1.2013
206	6.0000	0.8141	0.8009
207	4.0000	0.5427	0.5339
208	5.0000	0.6784	0.6674
209	7.0000	0.9498	0.9343
210	7.0000	0.9498	0.9343
211	8.0000	1.0855	1.0678
212	8.0000	1.0855	1.0678
213	6.0000	0.8141	0.8009
214	10.0000	1.3569	1.3348
215	8.0000	1.0855	1.0678
216	9.0000	1.2212	1.2013
217	4.0000	0.5427	0.5339
218	6.0000	0.8141	0.8009
219	7.0000	0.9498	0.9343
220	6.0000	0.8141	0.8009
221	9.0000	1.2212	1.2013
222	7.0000	0.9498	0.9343
223	7.0000	0.9498	0.9343
224	8.0000	1.0855	1.0678
225	7.0000	0.9498	0.9343
226	7.0000	0.9498	0.9343
227	7.0000	0.9498	0.9343
228	8.0000	1.0855	1.0678
229	8.0000	1.0855	1.0678
230	6.0000	0.8141	0.8009
231	9.0000	1.2212	1.2013
232	8.0000	1.0855	1.0678
233	4.0000	0.5427	0.5339
234	9.0000	1.2212	1.2013
235	8.0000	1.0855	1.0678
236	8.0000	1.0855	1.0678
237	9.0000	1.2212	1.2013
238	4.0000	0.5427	0.5339
239	7.0000	0.9498	0.9343
240	8.0000	1.0855	1.0678
241	7.0000	0.9498	0.9343
242	6.0000	0.8141	0.8009
243	9.0000	1.2212	1.2013
244	5.0000	0.6784	0.6674
245	9.0000	1.2212	1.2013
246	9.0000	1.2212	1.2013
247	10.0000	1.3569	1.3348
248	7.0000	0.9498	0.9343
249	4.0000	0.5427	0.5339
250	6.0000	0.8141	0.8009
251	9.0000	1.2212	1.2013
252	7.0000	0.9498	0.9343
253	7.0000	0.9498	0.9343
254	6.0000	0.8141	0.8009
255	7.0000	0.9498	0.9343
256	6.0000	0.8141	0.8009
