Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	4.5000	0.9579	0.9611
2	4.5000	0.9579	0.9611
3	4.5000	0.9579	0.9611
4	4.5000	0.9579	0.9611
5	4.5000	0.9579	0.9611
6	3.5000	0.7450	0.7475
7	4.5000	0.9579	0.9611
8	2.5000	0.5321	0.5340
9	4.5000	0.9579	0.9611
10	4.5000	0.9579	0.9611
11	3.5000	0.7450	0.7475
12	4.5000	0.9579	0.9611
13	3.5000	0.7450	0.7475
14	4.5000	0.9579	0.9611
15	4.5000	0.9579	0.9611
16	4.5000	0.9579	0.9611
17	4.5000	0.9579	0.9611
18	3.5000	0.7450	0.7475
19	3.5000	0.7450	0.7475
20	2.5000	0.5321	0.5340
21	3.5000	0.7450	0.7475
22	3.5000	0.7450	0.7475
23	3.5000	0.7450	0.7475
24	4.5000	0.9579	0.9611
25	3.5000	0.7450	0.7475
26	4.5000	0.9579	0.9611
27	0.5000	0.1064	0.1068
28	4.5000	0.9579	0.9611
29	4.5000	0.9579	0.9611
30	3.5000	0.7450	0.7475
31	4.5000	0.9579	0.9611
32	4.5000	0.9579	0.9611
33	4.5000	0.9579	0.9611
34	4.5000	0.9579	0.9611
35	4.5000	0.9579	0.9611
36	3.5000	0.7450	0.7475
37	4.5000	0.9579	0.9611
38	4.5000	0.9579	0.9611
39	3.5000	0.7450	0.7475
40	3.5000	0.7450	0.7475
41	4.5000	0.9579	0.9611
42	3.5000	0.7450	0.7475
43	3.5000	0.7450	0.7475
44	4.5000	0.9579	0.9611
45	4.5000	0.9579	0.9611
46	4.5000	0.9579	0.9611
47	4.5000	0.9579	0.9611
48	4.5000	0.9579	0.9611
49	4.5000	0.9579	0.9611
50	4.5000	0.9579	0.9611
51	4.5000	0.9579	0.9611
52	3.5000	0.7450	0.7475
53	4.5000	0.9579	0.9611
54	2.5000	0.5321	0.5340
55	2.5000	0.5321	0.5340
56	4.5000	0.9579	0.9611
57	2.5000	0.5321	0.5340
58	4.5000	0.9579	0.9611
59	4.5000	0.9579	0.9611
60	4.5000	0.9579	0.9611
61	4.5000	0.9579	0.9611
62	4.5000	0.9579	0.9611
63	3.5000	0.7450	0.7475
64	4.5000	0.9579	0.9611
65	4.5000	0.9579	0.9611
66	4.5000	0.9579	0.9611
67	4.5000	0.9579	0.9611
68	4.5000	0.9579	0.9611
69	3.5000	0.7450	0.7475
70	2.5000	0.5321	0.5340
71	4.5000	0.9579	0.9611
72	3.5000	0.7450	0.7475
73	3.5000	0.7450	0.7475
74	3.5000	0.7450	0.7475
75	3.5000	0.7450	0.7475
76	3.5000	0.7450	0.7475
77	3.5000	0.7450	0.7475
78	4.5000	0.9579	0.9611
79	3.5000	0.7450	0.7475
80	4.5000	0.9579	0.9611
81	4.5000	0.9579	0.9611
82	4.5000	0.9579	0.9611
83	4.5000	0.9579	0.9611
84	4.5000	0.9579	0.9611
85	4.5000	0.9579	0.9611
86	2.5000	0.5321	0.5340
87	2.5000	0.5321	0.5340
88	4.5000	0.9579	0.9611
89	3.5000	0.7450	0.7475
90	4.5000	0.9579	0.9611
91	4.5000	0.9579	0.9611
92	4.5000	0.9579	0.9611
93	3.5000	0.7450	0.7475
94	4.5000	0.9579	0.9611
95	4.5000	0.9579	0.9611
96	3.5000	0.7450	0.7475
97	3.5000	0.7450	0.7475
98	2.5000	0.5321	0.5340
99	2.5000	0.5321	0.5340
100	4.5000	0.9579	0.9611
101	0.5000	0.1064	0.1068
102	4.5000	0.9579	0.9611
103	4.5000	0.9579	0.9611
104	4.5000	0.9579	0.9611
105	4.5000	0.9579	0.9611
106	4.5000	0.9579	0.9611
107	4.5000	0.9579	0.9611
108	4.5000	0.9579	0.9611
109	3.5000	0.7450	0.7475
110	4.5000	0.9579	0.9611
111	4.5000	0.9579	0.9611
112	4.5000	0.9579	0.9611
113	4.5000	0.9579	0.9611
114	4.5000	0.9579	0.9611
115	3.5000	0.7450	0.7475
116	4.5000	0.9579	0.9611
117	4.5000	0.9579	0.9611
118	4.5000	0.9579	0.9611
119	4.5000	0.9579	0.9611
120	4.5000	0.9579	0.9611
121	4.5000	0.9579	0.9611
122	4.5000	0.9579	0.9611
123	4.5000	0.9579	0.9611
124	4.5000	0.9579	0.9611
125	4.5000	0.9579	0.9611
126	4.5000	0.9579	0.9611
127	3.5000	0.7450	0.7475
128	4.5000	0.9579	0.9611
129	3.5000	0.7450	0.7475
130	1.5000	0.3193	0.3204
131	3.5000	0.7450	0.7475
132	4.5000	0.9579	0.9611
133	4.5000	0.9579	0.9611
134	3.5000	0.7450	0.7475
135	4.5000	0.9579	0.9611
136	4.5000	0.9579	0.9611
137	4.5000	0.9579	0.9611
138	4.5000	0.9579	0.9611
139	4.5000	0.9579	0.9611
140	4.5000	0.9579	0.9611
141	4.5000	0.9579	0.9611
142	4.5000	0.9579	0.9611
143	4.5000	0.9579	0.9611
144	4.5000	0.9579	0.9611
145	4.5000	0.9579	0.9611
146	4.5000	0.9579	0.9611
147	4.5000	0.9579	0.9611
148	4.5000	0.9579	0.9611
149	4.5000	0.9579	0.9611
150	3.5000	0.7450	0.7475
151	4.5000	0.9579	0.9611
152	2.5000	0.5321	0.5340
153	4.5000	0.9579	0.9611
154	4.5000	0.9579	0.9611
155	4.5000	0.9579	0.9611
156	4.5000	0.9579	0.9611
157	3.5000	0.7450	0.7475
158	3.5000	0.7450	0.7475
159	4.5000	0.9579	0.9611
160	3.5000	0.7450	0.7475
161	4.5000	0.9579	0.9611
162	2.5000	0.5321	0.5340
163	4.5000	0.9579	0.9611
164	3.5000	0.7450	0.7475
165	4.5000	0.9579	0.9611
166	4.5000	0.9579	0.9611
167	3.5000	0.7450	0.7475
168	3.5000	0.7450	0.7475
169	4.5000	0.9579	0.9611
170	3.5000	0.7450	0.7475
171	4.5000	0.9579	0.9611
172	4.5000	0.9579	0.9611
173	4.5000	0.9579	0.9611
174	4.5000	0.9579	0.9611
175	4.5000	0.9579	0.9611
176	3.5000	0.7450	0.7475
177	4.5000	0.9579	0.9611
178	4.5000	0.9579	0.9611
179	3.5000	0.7450	0.7475
180	3.5000	0.7450	0.7475
181	4.5000	0.9579	0.9611
182	3.5000	0.7450	0.7475
183	4.5000	0.9579	0.9611
184	4.5000	0.9579	0.9611
185	4.5000	0.9579	0.9611
186	3.5000	0.7450	0.7475
187	4.5000	0.9579	0.9611
188	4.5000	0.9579	0.9611
189	4.5000	0.9579	0.9611
190	4.5000	0.9579	0.9611
191	4.5000	0.9579	0.9611
192	4.5000	0.9579	0.9611
193	3.5000	0.7450	0.7475
194	3.5000	0.7450	0.7475
195	3.5000	0.7450	0.7475
196	4.5000	0.9579	0.9611
197	4.5000	0.9579	0.9611
198	4.5000	0.9579	0.9611
199	4.5000	0.9579	0.9611
200	4.5000	0.9579	0.9611
201	4.5000	0.9579	0.9611
202	3.5000	0.7450	0.7475
203	3.5000	0.7450	0.7475
204	3.5000	0.7450	0.7475
205	4.5000	0.9579	0.9611
206	3.5000	0.7450	0.7475
207	3.5000	0.7450	0.7475
208	2.5000	0.5321	0.5340
209	4.5000	0.9579	0.9611
210	4.5000	0.9579	0.9611
211	4.5000	0.9579	0.9611
212	4.5000	0.9579	0.9611
213	3.5000	0.7450	0.7475
214	4.5000	0.9579	0.9611
215	4.5000	0.9579	0.9611
216	4.5000	0.9579	0.9611
217	2.5000	0.5321	0.5340
218	3.5000	0.7450	0.7475
219	4.5000	0.9579	0.9611
220	3.5000	0.7450	0.7475
221	4.5000	0.9579	0.9611
222	3.5000	0.7450	0.7475
223	4.5000	0.9579	0.9611
224	4.5000	0.9579	0.9611
225	4.5000	0.9579	0.9611
226	3.5000	0.7450	0.7475
227	4.5000	0.9579	0.9611
228	4.5000	0.9579	0.9611
229	4.5000	0.9579	0.9611
230	3.5000	0.7450	0.7475
231	4.5000	0.9579	0.9611
232	4.5000	0.9579	0.9611
233	3.5000	0.7450	0.7475
234	4.5000	0.9579	0.9611
235	4.5000	0.9579	0.9611
236	4.5000	0.9579	0.9611
237	4.5000	0.9579	0.9611
238	2.5000	0.5321	0.5340
239	4.5000	0.9579	0.9611
240	4.5000	0.9579	0.9611
241	3.5000	0.7450	0.7475
242	4.5000	0.9579	0.9611
243	4.5000	0.9579	0.9611
244	4.5000	0.9579	0.9611
245	4.5000	0.9579	0.9611
246	4.5000	0.9579	0.9611
247	4.5000	0.9579	0.9611
248	3.5000	0.7450	0.7475
249	3.5000	0.7450	0.7475
250	4.5000	0.9579	0.9611
251	4.5000	0.9579	0.9611
252	4.5000	0.9579	0.9611
253	4.5000	0.9579	0.9611
254	3.5000	0.7450	0.7475
255	4.5000	0.9579	0.9611
256	4.5000	0.9579	0.9611
257	4.5000	0.9579	0.9611
258	4.5000	0.9579	0.9611
259	3.5000	0.7450	0.7475
260	3.5000	0.7450	0.7475
261	4.5000	0.9579	0.9611
262	4.5000	0.9579	0.9611
263	4.5000	0.9579	0.9611
264	3.5000	0.7450	0.7475
265	4.5000	0.9579	0.9611
266	4.5000	0.9579	0.9611
267	4.5000	0.9579	0.9611
268	2.5000	0.5321	0.5340
269	4.5000	0.9579	0.9611
270	2.5000	0.5321	0.5340
271	3.5000	0.7450	0.7475
272	3.5000	0.7450	0.7475
273	4.5000	0.9579	0.9611
274	4.5000	0.9579	0.9611
275	4.5000	0.9579	0.9611
276	3.5000	0.7450	0.7475
277	3.5000	0.7450	0.7475
278	4.5000	0.9579	0.9611
279	4.5000	0.9579	0.9611
280	3.5000	0.7450	0.7475
281	4.5000	0.9579	0.9611
282	4.5000	0.9579	0.9611
283	3.5000	0.7450	0.7475
284	3.5000	0.7450	0.7475
285	4.5000	0.9579	0.9611
286	4.5000	0.9579	0.9611
287	3.5000	0.7450	0.7475
288	4.5000	0.9579	0.9611
289	4.5000	0.9579	0.9611
290	4.5000	0.9579	0.9611
291	4.5000	0.9579	0.9611
292	4.5000	0.9579	0.9611
293	4.5000	0.9579	0.9611
294	4.5000	0.9579	0.9611
295	4.5000	0.9579	0.9611
296	2.5000	0.5321	0.5340
297	3.5000	0.7450	0.7475
298	4.5000	0.9579	0.9611
299	4.5000	0.9579	0.9611
300	4.5000	0.9579	0.9611
301	4.5000	0.9579	0.9611
302	4.5000	0.9579	0.9611
303	4.5000	0.9579	0.9611
304	3.5000	0.7450	0.7475
305	2.5000	0.5321	0.5340
306	4.5000	0.9579	0.9611
307	4.5000	0.9579	0.9611
308	3.5000	0.7450	0.7475
309	2.5000	0.5321	0.5340
310	4.5000	0.9579	0.9611
311	1.5000	0.3193	0.3204
312	4.5000	0.9579	0.9611
313	3.5000	0.7450	0.7475
314	4.5000	0.9579	0.9611
315	4.5000	0.9579	0.9611
316	4.5000	0.9579	0.9611
317	4.5000	0.9579	0.9611
318	4.5000	0.9579	0.9611
319	2.5000	0.5321	0.5340
320	4.5000	0.9579	0.9611
321	4.5000	0.9579	0.9611
322	4.5000	0.9579	0.9611
323	4.5000	0.9579	0.9611
324	4.5000	0.9579	0.9611
325	3.5000	0.7450	0.7475
326	3.5000	0.7450	0.7475
327	4.5000	0.9579	0.9611
328	4.5000	0.9579	0.9611
329	4.5000	0.9579	0.9611
330	4.5000	0.9579	0.9611
331	4.5000	0.9579	0.9611
332	4.5000	0.9579	0.9611
333	4.5000	0.9579	0.9611
334	2.5000	0.5321	0.5340
335	4.5000	0.9579	0.9611
336	3.5000	0.7450	0.7475
337	4.5000	0.9579	0.9611
338	4.5000	0.9579	0.9611
339	4.5000	0.9579	0.9611
340	4.5000	0.9579	0.9611
341	4.5000	0.9579	0.9611
342	4.5000	0.9579	0.9611
343	4.5000	0.9579	0.9611
344	4.5000	0.9579	0.9611
345	3.5000	0.7450	0.7475
346	4.5000	0.9579	0.9611
347	2.5000	0.5321	0.5340
348	4.5000	0.9579	0.9611
349	4.5000	0.9579	0.9611
350	2.5000	0.5321	0.5340
351	4.5000	0.9579	0.9611
352	3.5000	0.7450	0.7475
353	2.5000	0.5321	0.5340
354	3.5000	0.7450	0.7475
355	4.5000	0.9579	0.9611
356	4.5000	0.9579	0.9611
357	4.5000	0.9579	0.9611
358	4.5000	0.9579	0.9611
359	4.5000	0.9579	0.9611
360	4.5000	0.9579	0.9611
361	3.5000	0.7450	0.7475
362	4.5000	0.9579	0.9611
363	4.5000	0.9579	0.9611
364	3.5000	0.7450	0.7475
365	4.5000	0.9579	0.9611
366	4.5000	0.9579	0.9611
367	3.5000	0.7450	0.7475
368	3.5000	0.7450	0.7475
369	4.5000	0.9579	0.9611
370	4.5000	0.9579	0.9611
371	3.5000	0.7450	0.7475
372	3.5000	0.7450	0.7475
373	4.5000	0.9579	0.9611
374	4.5000	0.9579	0.9611
375	2.5000	0.5321	0.5340
376	4.5000	0.9579	0.9611
377	3.5000	0.7450	0.7475
378	3.5000	0.7450	0.7475
379	4.5000	0.9579	0.9611
380	4.5000	0.9579	0.9611
381	4.5000	0.9579	0.9611
382	2.5000	0.5321	0.5340
383	1.5000	0.3193	0.3204
384	4.5000	0.9579	0.9611
385	4.5000	0.9579	0.9611
386	4.5000	0.9579	0.9611
387	4.5000	0.9579	0.9611
388	3.5000	0.7450	0.7475
389	4.5000	0.9579	0.9611
390	2.5000	0.5321	0.5340
391	4.5000	0.9579	0.9611
392	3.5000	0.7450	0.7475
393	4.5000	0.9579	0.9611
394	4.5000	0.9579	0.9611
395	4.5000	0.9579	0.9611
396	4.5000	0.9579	0.9611
397	4.5000	0.9579	0.9611
398	4.5000	0.9579	0.9611
399	3.5000	0.7450	0.7475
400	4.5000	0.9579	0.9611
401	4.5000	0.9579	0.9611
402	4.5000	0.9579	0.9611
403	3.5000	0.7450	0.7475
404	4.5000	0.9579	0.9611
405	2.5000	0.5321	0.5340
406	4.5000	0.9579	0.9611
407	4.5000	0.9579	0.9611
408	4.5000	0.9579	0.9611
409	3.5000	0.7450	0.7475
410	3.5000	0.7450	0.7475
411	3.5000	0.7450	0.7475
412	4.5000	0.9579	0.9611
413	4.5000	0.9579	0.9611
414	4.5000	0.9579	0.9611
415	3.5000	0.7450	0.7475
416	4.5000	0.9579	0.9611
417	4.5000	0.9579	0.9611
418	4.5000	0.9579	0.9611
419	3.5000	0.7450	0.7475
420	3.5000	0.7450	0.7475
421	3.5000	0.7450	0.7475
422	4.5000	0.9579	0.9611
423	4.5000	0.9579	0.9611
424	4.5000	0.9579	0.9611
425	4.5000	0.9579	0.9611
426	4.5000	0.9579	0.9611
427	2.5000	0.5321	0.5340
428	3.5000	0.7450	0.7475
429	4.5000	0.9579	0.9611
430	4.5000	0.9579	0.9611
431	4.5000	0.9579	0.9611
432	4.5000	0.9579	0.9611
433	3.5000	0.7450	0.7475
434	4.5000	0.9579	0.9611
435	3.5000	0.7450	0.7475
436	4.5000	0.9579	0.9611
437	4.5000	0.9579	0.9611
438	4.5000	0.9579	0.9611
439	3.5000	0.7450	0.7475
