Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	4.0000	1.1093	1.0998
2	4.0000	1.1093	1.0998
3	4.0000	1.1093	1.0998
4	4.0000	1.1093	1.0998
5	4.0000	1.1093	1.0998
6	3.0000	0.8319	0.8249
7	4.0000	1.1093	1.0998
8	2.0000	0.5546	0.5499
9	4.0000	1.1093	1.0998
10	4.0000	1.1093	1.0998
11	3.0000	0.8319	0.8249
12	4.0000	1.1093	1.0998
13	3.0000	0.8319	0.8249
14	4.0000	1.1093	1.0998
15	4.0000	1.1093	1.0998
16	4.0000	1.1093	1.0998
17	4.0000	1.1093	1.0998
18	3.0000	0.8319	0.8249
19	3.0000	0.8319	0.8249
20	2.0000	0.5546	0.5499
21	3.0000	0.8319	0.8249
22	3.0000	0.8319	0.8249
23	3.0000	0.8319	0.8249
24	4.0000	1.1093	1.0998
25	3.0000	0.8319	0.8249
26	4.0000	1.1093	1.0998
27	0.0000	0.0000	0.0000
28	4.0000	1.1093	1.0998
29	4.0000	1.1093	1.0998
30	3.0000	0.8319	0.8249
31	4.0000	1.1093	1.0998
32	4.0000	1.1093	1.0998
33	4.0000	1.1093	1.0998
34	4.0000	1.1093	1.0998
35	4.0000	1.1093	1.0998
36	3.0000	0.8319	0.8249
37	4.0000	1.1093	1.0998
38	4.0000	1.1093	1.0998
39	3.0000	0.8319	0.8249
40	3.0000	0.8319	0.8249
41	4.0000	1.1093	1.0998
42	3.0000	0.8319	0.8249
43	3.0000	0.8319	0.8249
44	4.0000	1.1093	1.0998
45	4.0000	1.1093	1.0998
46	4.0000	1.1093	1.0998
47	4.0000	1.1093	1.0998
48	4.0000	1.1093	1.0998
49	4.0000	1.1093	1.0998
50	4.0000	1.1093	1.0998
51	4.0000	1.1093	1.0998
52	3.0000	0.8319	0.8249
53	4.0000	1.1093	1.0998
54	2.0000	0.5546	0.5499
55	2.0000	0.5546	0.5499
56	4.0000	1.1093	1.0998
57	2.0000	0.5546	0.5499
58	4.0000	1.1093	1.0998
59	4.0000	1.1093	1.0998
60	4.0000	1.1093	1.0998
61	4.0000	1.1093	1.0998
62	4.0000	1.1093	1.0998
63	3.0000	0.8319	0.8249
64	4.0000	1.1093	1.0998
65	4.0000	1.1093	1.0998
66	4.0000	1.1093	1.0998
67	4.0000	1.1093	1.0998
68	4.0000	1.1093	1.0998
69	3.0000	0.8319	0.8249
70	2.0000	0.5546	0.5499
71	4.0000	1.1093	1.0998
72	3.0000	0.8319	0.8249
73	3.0000	0.8319	0.8249
74	3.0000	0.8319	0.8249
75	3.0000	0.8319	0.8249
76	3.0000	0.8319	0.8249
77	2.0000	0.5546	0.5499
78	4.0000	1.1093	1.0998
79	3.0000	0.8319	0.8249
80	4.0000	1.1093	1.0998
81	4.0000	1.1093	1.0998
