Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	11.0000	0.8718	0.8683
2	10.0000	0.7925	0.7893
3	8.0000	0.6340	0.6315
4	10.0000	0.7925	0.7893
5	13.0000	1.0303	1.0261
6	12.0000	0.9510	0.9472
7	10.0000	0.7925	0.7893
8	12.0000	0.9510	0.9472
9	6.0000	0.4755	0.4736
10	13.0000	1.0303	1.0261
11	11.0000	0.8718	0.8683
12	12.0000	0.9510	0.9472
13	8.0000	0.6340	0.6315
14	12.0000	0.9510	0.9472
15	12.0000	0.9510	0.9472
16	12.0000	0.9510	0.9472
17	14.0000	1.1095	1.1051
18	12.0000	0.9510	0.9472
19	9.0000	0.7133	0.7104
20	12.0000	0.9510	0.9472
21	8.0000	0.6340	0.6315
22	10.0000	0.7925	0.7893
23	12.0000	0.9510	0.9472
24	8.0000	0.6340	0.6315
25	11.0000	0.8718	0.8683
26	14.0000	1.1095	1.1051
27	13.0000	1.0303	1.0261
28	14.0000	1.1095	1.1051
29	14.0000	1.1095	1.1051
30	11.0000	0.8718	0.8683
31	12.0000	0.9510	0.9472
32	13.0000	1.0303	1.0261
33	10.0000	0.7925	0.7893
34	12.0000	0.9510	0.9472
35	14.0000	1.1095	1.1051
36	8.0000	0.6340	0.6315
37	12.0000	0.9510	0.9472
38	11.0000	0.8718	0.8683
39	13.0000	1.0303	1.0261
40	11.0000	0.8718	0.8683
41	8.0000	0.6340	0.6315
42	12.0000	0.9510	0.9472
43	12.0000	0.9510	0.9472
44	14.0000	1.1095	1.1051
45	10.0000	0.7925	0.7893
46	12.0000	0.9510	0.9472
47	6.0000	0.4755	0.4736
48	10.0000	0.7925	0.7893
49	10.0000	0.7925	0.7893
50	10.0000	0.7925	0.7893
51	12.0000	0.9510	0.9472
52	10.0000	0.7925	0.7893
53	13.0000	1.0303	1.0261
54	11.0000	0.8718	0.8683
55	11.0000	0.8718	0.8683
56	12.0000	0.9510	0.9472
57	10.0000	0.7925	0.7893
58	9.0000	0.7133	0.7104
59	14.0000	1.1095	1.1051
60	12.0000	0.9510	0.9472
61	11.0000	0.8718	0.8683
62	12.0000	0.9510	0.9472
63	11.0000	0.8718	0.8683
64	11.0000	0.8718	0.8683
65	12.0000	0.9510	0.9472
66	14.0000	1.1095	1.1051
67	14.0000	1.1095	1.1051
68	10.0000	0.7925	0.7893
69	12.0000	0.9510	0.9472
70	14.0000	1.1095	1.1051
71	9.0000	0.7133	0.7104
72	12.0000	0.9510	0.9472
73	12.0000	0.9510	0.9472
74	12.0000	0.9510	0.9472
75	13.0000	1.0303	1.0261
76	10.0000	0.7925	0.7893
77	12.0000	0.9510	0.9472
78	8.0000	0.6340	0.6315
79	12.0000	0.9510	0.9472
80	14.0000	1.1095	1.1051
81	9.0000	0.7133	0.7104
82	16.0000	1.2680	1.2629
83	12.0000	0.9510	0.9472
84	14.0000	1.1095	1.1051
85	12.0000	0.9510	0.9472
86	14.0000	1.1095	1.1051
87	14.0000	1.1095	1.1051
88	10.0000	0.7925	0.7893
89	12.0000	0.9510	0.9472
90	8.0000	0.6340	0.6315
91	10.0000	0.7925	0.7893
92	8.0000	0.6340	0.6315
93	10.0000	0.7925	0.7893
94	12.0000	0.9510	0.9472
95	12.0000	0.9510	0.9472
96	10.0000	0.7925	0.7893
97	12.0000	0.9510	0.9472
98	14.0000	1.1095	1.1051
99	10.0000	0.7925	0.7893
100	12.0000	0.9510	0.9472
101	13.0000	1.0303	1.0261
102	14.0000	1.1095	1.1051
103	8.0000	0.6340	0.6315
104	14.0000	1.1095	1.1051
105	12.0000	0.9510	0.9472
106	13.0000	1.0303	1.0261
107	14.0000	1.1095	1.1051
108	14.0000	1.1095	1.1051
109	14.0000	1.1095	1.1051
110	14.0000	1.1095	1.1051
111	8.0000	0.6340	0.6315
112	12.0000	0.9510	0.9472
113	9.0000	0.7133	0.7104
114	11.0000	0.8718	0.8683
115	10.0000	0.7925	0.7893
116	13.0000	1.0303	1.0261
117	14.0000	1.1095	1.1051
118	10.0000	0.7925	0.7893
119	8.0000	0.6340	0.6315
120	14.0000	1.1095	1.1051
121	6.0000	0.4755	0.4736
122	10.0000	0.7925	0.7893
123	9.0000	0.7133	0.7104
124	8.0000	0.6340	0.6315
125	10.0000	0.7925	0.7893
126	12.0000	0.9510	0.9472
127	11.0000	0.8718	0.8683
128	9.0000	0.7133	0.7104
129	14.0000	1.1095	1.1051
130	11.0000	0.8718	0.8683
131	12.0000	0.9510	0.9472
132	8.0000	0.6340	0.6315
133	14.0000	1.1095	1.1051
134	12.0000	0.9510	0.9472
135	10.0000	0.7925	0.7893
136	12.0000	0.9510	0.9472
137	8.0000	0.6340	0.6315
138	12.0000	0.9510	0.9472
139	14.0000	1.1095	1.1051
140	12.0000	0.9510	0.9472
141	10.0000	0.7925	0.7893
142	14.0000	1.1095	1.1051
143	10.0000	0.7925	0.7893
144	12.0000	0.9510	0.9472
145	14.0000	1.1095	1.1051
146	12.0000	0.9510	0.9472
147	10.0000	0.7925	0.7893
148	9.0000	0.7133	0.7104
149	10.0000	0.7925	0.7893
150	12.0000	0.9510	0.9472
151	14.0000	1.1095	1.1051
152	11.0000	0.8718	0.8683
153	10.0000	0.7925	0.7893
154	14.0000	1.1095	1.1051
155	7.0000	0.5548	0.5525
156	12.0000	0.9510	0.9472
157	12.0000	0.9510	0.9472
158	14.0000	1.1095	1.1051
159	8.0000	0.6340	0.6315
160	13.0000	1.0303	1.0261
161	16.0000	1.2680	1.2629
162	7.0000	0.5548	0.5525
163	10.0000	0.7925	0.7893
164	12.0000	0.9510	0.9472
165	10.0000	0.7925	0.7893
166	8.0000	0.6340	0.6315
167	12.0000	0.9510	0.9472
168	11.0000	0.8718	0.8683
169	12.0000	0.9510	0.9472
170	10.0000	0.7925	0.7893
171	10.0000	0.7925	0.7893
172	13.0000	1.0303	1.0261
173	14.0000	1.1095	1.1051
174	6.0000	0.4755	0.4736
175	12.0000	0.9510	0.9472
176	12.0000	0.9510	0.9472
