Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	4.5000	0.9579	0.9611
2	2.5000	0.5321	0.5340
3	3.5000	0.7450	0.7475
4	4.5000	0.9579	0.9611
5	4.5000	0.9579	0.9611
6	4.5000	0.9579	0.9611
7	3.5000	0.7450	0.7475
8	4.5000	0.9579	0.9611
9	2.5000	0.5321	0.5340
10	4.5000	0.9579	0.9611
11	4.5000	0.9579	0.9611
12	4.5000	0.9579	0.9611
13	3.5000	0.7450	0.7475
14	3.5000	0.7450	0.7475
15	3.5000	0.7450	0.7475
16	3.5000	0.7450	0.7475
17	4.5000	0.9579	0.9611
18	4.5000	0.9579	0.9611
19	3.5000	0.7450	0.7475
20	4.5000	0.9579	0.9611
21	2.5000	0.5321	0.5340
22	4.5000	0.9579	0.9611
23	3.5000	0.7450	0.7475
24	3.5000	0.7450	0.7475
25	3.5000	0.7450	0.7475
26	4.5000	0.9579	0.9611
27	4.5000	0.9579	0.9611
28	4.5000	0.9579	0.9611
29	4.5000	0.9579	0.9611
30	4.5000	0.9579	0.9611
31	4.5000	0.9579	0.9611
32	4.5000	0.9579	0.9611
33	3.5000	0.7450	0.7475
34	3.5000	0.7450	0.7475
35	4.5000	0.9579	0.9611
36	3.5000	0.7450	0.7475
37	3.5000	0.7450	0.7475
38	4.5000	0.9579	0.9611
39	4.5000	0.9579	0.9611
40	4.5000	0.9579	0.9611
41	3.5000	0.7450	0.7475
42	4.5000	0.9579	0.9611
43	4.5000	0.9579	0.9611
44	4.5000	0.9579	0.9611
45	4.5000	0.9579	0.9611
46	4.5000	0.9579	0.9611
47	2.5000	0.5321	0.5340
48	3.5000	0.7450	0.7475
49	3.5000	0.7450	0.7475
50	4.5000	0.9579	0.9611
51	3.5000	0.7450	0.7475
52	4.5000	0.9579	0.9611
53	4.5000	0.9579	0.9611
54	4.5000	0.9579	0.9611
55	4.5000	0.9579	0.9611
56	4.5000	0.9579	0.9611
57	3.5000	0.7450	0.7475
58	3.5000	0.7450	0.7475
59	4.5000	0.9579	0.9611
60	4.5000	0.9579	0.9611
61	4.5000	0.9579	0.9611
62	4.5000	0.9579	0.9611
63	4.5000	0.9579	0.9611
64	3.5000	0.7450	0.7475
65	4.5000	0.9579	0.9611
66	4.5000	0.9579	0.9611
67	3.5000	0.7450	0.7475
68	3.5000	0.7450	0.7475
69	4.5000	0.9579	0.9611
70	4.5000	0.9579	0.9611
71	3.5000	0.7450	0.7475
72	4.5000	0.9579	0.9611
73	4.5000	0.9579	0.9611
74	4.5000	0.9579	0.9611
75	4.5000	0.9579	0.9611
76	4.5000	0.9579	0.9611
77	4.5000	0.9579	0.9611
78	3.5000	0.7450	0.7475
79	4.5000	0.9579	0.9611
80	4.5000	0.9579	0.9611
81	3.5000	0.7450	0.7475
82	4.5000	0.9579	0.9611
83	3.5000	0.7450	0.7475
84	4.5000	0.9579	0.9611
85	4.5000	0.9579	0.9611
86	4.5000	0.9579	0.9611
87	4.5000	0.9579	0.9611
88	4.5000	0.9579	0.9611
89	4.5000	0.9579	0.9611
90	3.5000	0.7450	0.7475
91	4.5000	0.9579	0.9611
92	2.5000	0.5321	0.5340
93	4.5000	0.9579	0.9611
94	4.5000	0.9579	0.9611
95	4.5000	0.9579	0.9611
96	4.5000	0.9579	0.9611
97	4.5000	0.9579	0.9611
98	4.5000	0.9579	0.9611
99	4.5000	0.9579	0.9611
100	4.5000	0.9579	0.9611
101	4.5000	0.9579	0.9611
102	4.5000	0.9579	0.9611
103	4.5000	0.9579	0.9611
104	4.5000	0.9579	0.9611
105	4.5000	0.9579	0.9611
106	4.5000	0.9579	0.9611
107	3.5000	0.7450	0.7475
108	4.5000	0.9579	0.9611
109	4.5000	0.9579	0.9611
110	3.5000	0.7450	0.7475
111	2.5000	0.5321	0.5340
112	3.5000	0.7450	0.7475
113	2.5000	0.5321	0.5340
114	4.5000	0.9579	0.9611
115	4.5000	0.9579	0.9611
116	4.5000	0.9579	0.9611
117	4.5000	0.9579	0.9611
118	4.5000	0.9579	0.9611
119	3.5000	0.7450	0.7475
120	4.5000	0.9579	0.9611
121	2.5000	0.5321	0.5340
122	3.5000	0.7450	0.7475
123	4.5000	0.9579	0.9611
124	3.5000	0.7450	0.7475
125	4.5000	0.9579	0.9611
126	4.5000	0.9579	0.9611
127	4.5000	0.9579	0.9611
128	3.5000	0.7450	0.7475
129	4.5000	0.9579	0.9611
130	4.5000	0.9579	0.9611
131	4.5000	0.9579	0.9611
132	3.5000	0.7450	0.7475
133	3.5000	0.7450	0.7475
134	4.5000	0.9579	0.9611
135	2.5000	0.5321	0.5340
136	4.5000	0.9579	0.9611
137	1.5000	0.3193	0.3204
138	3.5000	0.7450	0.7475
139	4.5000	0.9579	0.9611
140	4.5000	0.9579	0.9611
141	3.5000	0.7450	0.7475
142	4.5000	0.9579	0.9611
143	3.5000	0.7450	0.7475
144	2.5000	0.5321	0.5340
145	3.5000	0.7450	0.7475
146	3.5000	0.7450	0.7475
147	4.5000	0.9579	0.9611
148	3.5000	0.7450	0.7475
149	4.5000	0.9579	0.9611
150	4.5000	0.9579	0.9611
151	4.5000	0.9579	0.9611
152	4.5000	0.9579	0.9611
153	3.5000	0.7450	0.7475
154	4.5000	0.9579	0.9611
155	3.5000	0.7450	0.7475
156	4.5000	0.9579	0.9611
157	4.5000	0.9579	0.9611
158	4.5000	0.9579	0.9611
159	2.5000	0.5321	0.5340
160	4.5000	0.9579	0.9611
161	3.5000	0.7450	0.7475
162	3.5000	0.7450	0.7475
163	3.5000	0.7450	0.7475
164	4.5000	0.9579	0.9611
165	3.5000	0.7450	0.7475
