Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	11.0000	0.8718	0.8683
2	16.0000	1.2680	1.2629
3	12.0000	0.9510	0.9472
4	14.0000	1.1095	1.1051
5	9.0000	0.7133	0.7104
6	12.0000	0.9510	0.9472
7	14.0000	1.1095	1.1051
8	12.0000	0.9510	0.9472
9	12.0000	0.9510	0.9472
10	11.0000	0.8718	0.8683
11	7.0000	0.5548	0.5525
12	12.0000	0.9510	0.9472
13	8.0000	0.6340	0.6315
14	10.0000	0.7925	0.7893
15	14.0000	1.1095	1.1051
16	10.0000	0.7925	0.7893
17	12.0000	0.9510	0.9472
18	10.0000	0.7925	0.7893
19	11.0000	0.8718	0.8683
20	10.0000	0.7925	0.7893
21	10.0000	0.7925	0.7893
22	10.0000	0.7925	0.7893
23	14.0000	1.1095	1.1051
24	12.0000	0.9510	0.9472
25	9.0000	0.7133	0.7104
26	12.0000	0.9510	0.9472
27	9.0000	0.7133	0.7104
28	12.0000	0.9510	0.9472
29	12.0000	0.9510	0.9472
30	3.0000	0.2378	0.2368
31	12.0000	0.9510	0.9472
32	13.0000	1.0303	1.0261
33	14.0000	1.1095	1.1051
34	10.0000	0.7925	0.7893
35	10.0000	0.7925	0.7893
36	12.0000	0.9510	0.9472
37	12.0000	0.9510	0.9472
38	13.0000	1.0303	1.0261
39	11.0000	0.8718	0.8683
40	11.0000	0.8718	0.8683
41	12.0000	0.9510	0.9472
42	12.0000	0.9510	0.9472
43	10.0000	0.7925	0.7893
44	14.0000	1.1095	1.1051
45	12.0000	0.9510	0.9472
46	16.0000	1.2680	1.2629
47	14.0000	1.1095	1.1051
48	14.0000	1.1095	1.1051
49	12.0000	0.9510	0.9472
50	12.0000	0.9510	0.9472
51	10.0000	0.7925	0.7893
52	12.0000	0.9510	0.9472
53	11.0000	0.8718	0.8683
54	9.0000	0.7133	0.7104
55	13.0000	1.0303	1.0261
56	14.0000	1.1095	1.1051
57	12.0000	0.9510	0.9472
58	9.0000	0.7133	0.7104
59	10.0000	0.7925	0.7893
60	12.0000	0.9510	0.9472
61	13.0000	1.0303	1.0261
62	12.0000	0.9510	0.9472
63	13.0000	1.0303	1.0261
64	11.0000	0.8718	0.8683
65	14.0000	1.1095	1.1051
66	14.0000	1.1095	1.1051
67	12.0000	0.9510	0.9472
68	10.0000	0.7925	0.7893
69	12.0000	0.9510	0.9472
70	12.0000	0.9510	0.9472
71	11.0000	0.8718	0.8683
72	12.0000	0.9510	0.9472
73	12.0000	0.9510	0.9472
74	12.0000	0.9510	0.9472
75	11.0000	0.8718	0.8683
76	12.0000	0.9510	0.9472
77	14.0000	1.1095	1.1051
78	10.0000	0.7925	0.7893
79	10.0000	0.7925	0.7893
80	10.0000	0.7925	0.7893
81	11.0000	0.8718	0.8683
82	14.0000	1.1095	1.1051
83	14.0000	1.1095	1.1051
84	14.0000	1.1095	1.1051
85	14.0000	1.1095	1.1051
86	10.0000	0.7925	0.7893
87	10.0000	0.7925	0.7893
88	10.0000	0.7925	0.7893
89	8.0000	0.6340	0.6315
90	14.0000	1.1095	1.1051
91	12.0000	0.9510	0.9472
92	12.0000	0.9510	0.9472
