Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	9.0000	1.2212	1.2013
2	8.0000	1.0855	1.0678
3	7.0000	0.9498	0.9343
4	9.0000	1.2212	1.2013
5	7.0000	0.9498	0.9343
6	9.0000	1.2212	1.2013
7	8.0000	1.0855	1.0678
8	9.0000	1.2212	1.2013
9	6.0000	0.8141	0.8009
10	8.0000	1.0855	1.0678
11	3.0000	0.4071	0.4004
12	9.0000	1.2212	1.2013
13	5.0000	0.6784	0.6674
14	8.0000	1.0855	1.0678
15	9.0000	1.2212	1.2013
16	7.0000	0.9498	0.9343
17	10.0000	1.3569	1.3348
18	6.0000	0.8141	0.8009
19	8.0000	1.0855	1.0678
20	7.0000	0.9498	0.9343
21	4.0000	0.5427	0.5339
22	6.0000	0.8141	0.8009
23	10.0000	1.3569	1.3348
24	8.0000	1.0855	1.0678
25	7.0000	0.9498	0.9343
26	9.0000	1.2212	1.2013
27	6.0000	0.8141	0.8009
28	8.0000	1.0855	1.0678
29	9.0000	1.2212	1.2013
30	2.0000	0.2714	0.2670
31	7.0000	0.9498	0.9343
32	9.0000	1.2212	1.2013
33	10.0000	1.3569	1.3348
34	7.0000	0.9498	0.9343
35	7.0000	0.9498	0.9343
36	6.0000	0.8141	0.8009
37	7.0000	0.9498	0.9343
38	8.0000	1.0855	1.0678
39	9.0000	1.2212	1.2013
40	8.0000	1.0855	1.0678
41	7.0000	0.9498	0.9343
42	8.0000	1.0855	1.0678
43	7.0000	0.9498	0.9343
44	9.0000	1.2212	1.2013
45	9.0000	1.2212	1.2013
46	8.0000	1.0855	1.0678
47	9.0000	1.2212	1.2013
48	6.0000	0.8141	0.8009
49	7.0000	0.9498	0.9343
50	8.0000	1.0855	1.0678
51	8.0000	1.0855	1.0678
52	6.0000	0.8141	0.8009
53	7.0000	0.9498	0.9343
54	7.0000	0.9498	0.9343
55	9.0000	1.2212	1.2013
56	9.0000	1.2212	1.2013
57	6.0000	0.8141	0.8009
58	5.0000	0.6784	0.6674
59	7.0000	0.9498	0.9343
60	8.0000	1.0855	1.0678
61	9.0000	1.2212	1.2013
62	9.0000	1.2212	1.2013
63	9.0000	1.2212	1.2013
64	8.0000	1.0855	1.0678
65	9.0000	1.2212	1.2013
66	9.0000	1.2212	1.2013
67	9.0000	1.2212	1.2013
68	5.0000	0.6784	0.6674
69	9.0000	1.2212	1.2013
70	8.0000	1.0855	1.0678
71	8.0000	1.0855	1.0678
72	9.0000	1.2212	1.2013
73	9.0000	1.2212	1.2013
74	9.0000	1.2212	1.2013
75	8.0000	1.0855	1.0678
76	8.0000	1.0855	1.0678
77	9.0000	1.2212	1.2013
78	8.0000	1.0855	1.0678
79	8.0000	1.0855	1.0678
80	7.0000	0.9498	0.9343
81	7.0000	0.9498	0.9343
82	6.0000	0.8141	0.8009
83	6.0000	0.8141	0.8009
84	4.0000	0.5427	0.5339
85	9.0000	1.2212	1.2013
86	6.0000	0.8141	0.8009
87	6.0000	0.8141	0.8009
88	8.0000	1.0855	1.0678
89	3.0000	0.4071	0.4004
90	9.0000	1.2212	1.2013
91	9.0000	1.2212	1.2013
92	9.0000	1.2212	1.2013
93	9.0000	1.2212	1.2013
94	6.0000	0.8141	0.8009
95	7.0000	0.9498	0.9343
96	9.0000	1.2212	1.2013
97	4.0000	0.5427	0.5339
98	9.0000	1.2212	1.2013
99	6.0000	0.8141	0.8009
100	9.0000	1.2212	1.2013
101	6.0000	0.8141	0.8009
102	9.0000	1.2212	1.2013
103	9.0000	1.2212	1.2013
104	6.0000	0.8141	0.8009
105	10.0000	1.3569	1.3348
106	9.0000	1.2212	1.2013
107	7.0000	0.9498	0.9343
108	9.0000	1.2212	1.2013
109	8.0000	1.0855	1.0678
110	7.0000	0.9498	0.9343
111	8.0000	1.0855	1.0678
112	8.0000	1.0855	1.0678
113	8.0000	1.0855	1.0678
114	7.0000	0.9498	0.9343
115	9.0000	1.2212	1.2013
116	7.0000	0.9498	0.9343
117	7.0000	0.9498	0.9343
118	7.0000	0.9498	0.9343
119	9.0000	1.2212	1.2013
120	6.0000	0.8141	0.8009
121	9.0000	1.2212	1.2013
122	7.0000	0.9498	0.9343
123	8.0000	1.0855	1.0678
124	9.0000	1.2212	1.2013
125	8.0000	1.0855	1.0678
126	9.0000	1.2212	1.2013
127	8.0000	1.0855	1.0678
128	6.0000	0.8141	0.8009
129	7.0000	0.9498	0.9343
130	7.0000	0.9498	0.9343
131	6.0000	0.8141	0.8009
132	9.0000	1.2212	1.2013
