Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	4.5000	0.9579	0.9611
2	4.5000	0.9579	0.9611
3	4.5000	0.9579	0.9611
4	4.5000	0.9579	0.9611
5	3.5000	0.7450	0.7475
6	4.5000	0.9579	0.9611
7	4.5000	0.9579	0.9611
8	4.5000	0.9579	0.9611
9	4.5000	0.9579	0.9611
10	4.5000	0.9579	0.9611
11	1.5000	0.3193	0.3204
12	4.5000	0.9579	0.9611
13	3.5000	0.7450	0.7475
14	4.5000	0.9579	0.9611
15	4.5000	0.9579	0.9611
16	4.5000	0.9579	0.9611
17	4.5000	0.9579	0.9611
18	3.5000	0.7450	0.7475
19	4.5000	0.9579	0.9611
20	3.5000	0.7450	0.7475
21	3.5000	0.7450	0.7475
22	2.5000	0.5321	0.5340
23	4.5000	0.9579	0.9611
24	4.5000	0.9579	0.9611
25	3.5000	0.7450	0.7475
26	4.5000	0.9579	0.9611
27	3.5000	0.7450	0.7475
28	4.5000	0.9579	0.9611
29	4.5000	0.9579	0.9611
30	1.5000	0.3193	0.3204
31	4.5000	0.9579	0.9611
32	4.5000	0.9579	0.9611
33	4.5000	0.9579	0.9611
34	4.5000	0.9579	0.9611
35	3.5000	0.7450	0.7475
36	3.5000	0.7450	0.7475
37	3.5000	0.7450	0.7475
38	4.5000	0.9579	0.9611
39	4.5000	0.9579	0.9611
40	4.5000	0.9579	0.9611
41	4.5000	0.9579	0.9611
42	4.5000	0.9579	0.9611
43	3.5000	0.7450	0.7475
44	4.5000	0.9579	0.9611
45	4.5000	0.9579	0.9611
46	4.5000	0.9579	0.9611
47	4.5000	0.9579	0.9611
48	4.5000	0.9579	0.9611
49	4.5000	0.9579	0.9611
50	4.5000	0.9579	0.9611
51	4.5000	0.9579	0.9611
52	3.5000	0.7450	0.7475
53	4.5000	0.9579	0.9611
54	3.5000	0.7450	0.7475
55	4.5000	0.9579	0.9611
56	4.5000	0.9579	0.9611
57	3.5000	0.7450	0.7475
58	3.5000	0.7450	0.7475
59	4.5000	0.9579	0.9611
60	4.5000	0.9579	0.9611
61	4.5000	0.9579	0.9611
62	4.5000	0.9579	0.9611
63	4.5000	0.9579	0.9611
64	4.5000	0.9579	0.9611
65	4.5000	0.9579	0.9611
66	4.5000	0.9579	0.9611
67	4.5000	0.9579	0.9611
68	4.5000	0.9579	0.9611
69	4.5000	0.9579	0.9611
70	4.5000	0.9579	0.9611
71	4.5000	0.9579	0.9611
72	4.5000	0.9579	0.9611
73	4.5000	0.9579	0.9611
74	4.5000	0.9579	0.9611
75	4.5000	0.9579	0.9611
76	4.5000	0.9579	0.9611
77	4.5000	0.9579	0.9611
78	4.5000	0.9579	0.9611
79	4.5000	0.9579	0.9611
80	4.5000	0.9579	0.9611
81	3.5000	0.7450	0.7475
82	3.5000	0.7450	0.7475
83	4.5000	0.9579	0.9611
84	3.5000	0.7450	0.7475
85	4.5000	0.9579	0.9611
86	3.5000	0.7450	0.7475
87	3.5000	0.7450	0.7475
88	4.5000	0.9579	0.9611
89	1.5000	0.3193	0.3204
90	4.5000	0.9579	0.9611
91	4.5000	0.9579	0.9611
92	4.5000	0.9579	0.9611
93	4.5000	0.9579	0.9611
94	3.5000	0.7450	0.7475
95	3.5000	0.7450	0.7475
96	4.5000	0.9579	0.9611
97	2.5000	0.5321	0.5340
98	4.5000	0.9579	0.9611
99	3.5000	0.7450	0.7475
100	4.5000	0.9579	0.9611
101	3.5000	0.7450	0.7475
102	4.5000	0.9579	0.9611
103	4.5000	0.9579	0.9611
104	3.5000	0.7450	0.7475
105	4.5000	0.9579	0.9611
106	4.5000	0.9579	0.9611
107	4.5000	0.9579	0.9611
108	4.5000	0.9579	0.9611
109	4.5000	0.9579	0.9611
110	4.5000	0.9579	0.9611
111	4.5000	0.9579	0.9611
112	4.5000	0.9579	0.9611
113	4.5000	0.9579	0.9611
114	4.5000	0.9579	0.9611
115	4.5000	0.9579	0.9611
116	4.5000	0.9579	0.9611
117	4.5000	0.9579	0.9611
118	4.5000	0.9579	0.9611
119	4.5000	0.9579	0.9611
120	3.5000	0.7450	0.7475
121	4.5000	0.9579	0.9611
122	4.5000	0.9579	0.9611
123	4.5000	0.9579	0.9611
124	4.5000	0.9579	0.9611
125	4.5000	0.9579	0.9611
126	4.5000	0.9579	0.9611
127	4.5000	0.9579	0.9611
128	4.5000	0.9579	0.9611
129	4.5000	0.9579	0.9611
130	3.5000	0.7450	0.7475
131	3.5000	0.7450	0.7475
132	4.5000	0.9579	0.9611
133	4.5000	0.9579	0.9611
134	4.5000	0.9579	0.9611
135	4.5000	0.9579	0.9611
136	4.5000	0.9579	0.9611
137	4.5000	0.9579	0.9611
138	4.5000	0.9579	0.9611
139	3.5000	0.7450	0.7475
140	4.5000	0.9579	0.9611
141	4.5000	0.9579	0.9611
142	3.5000	0.7450	0.7475
143	4.5000	0.9579	0.9611
144	4.5000	0.9579	0.9611
145	4.5000	0.9579	0.9611
146	3.5000	0.7450	0.7475
147	3.5000	0.7450	0.7475
148	3.5000	0.7450	0.7475
149	4.5000	0.9579	0.9611
150	4.5000	0.9579	0.9611
151	4.5000	0.9579	0.9611
152	3.5000	0.7450	0.7475
153	4.5000	0.9579	0.9611
154	4.5000	0.9579	0.9611
155	4.5000	0.9579	0.9611
156	4.5000	0.9579	0.9611
157	3.5000	0.7450	0.7475
158	4.5000	0.9579	0.9611
159	4.5000	0.9579	0.9611
160	1.5000	0.3193	0.3204
161	4.5000	0.9579	0.9611
162	3.5000	0.7450	0.7475
163	4.5000	0.9579	0.9611
164	3.5000	0.7450	0.7475
165	4.5000	0.9579	0.9611
166	4.5000	0.9579	0.9611
167	4.5000	0.9579	0.9611
168	2.5000	0.5321	0.5340
169	4.5000	0.9579	0.9611
170	3.5000	0.7450	0.7475
171	4.5000	0.9579	0.9611
172	4.5000	0.9579	0.9611
173	4.5000	0.9579	0.9611
174	4.5000	0.9579	0.9611
175	4.5000	0.9579	0.9611
176	4.5000	0.9579	0.9611
177	2.5000	0.5321	0.5340
178	4.5000	0.9579	0.9611
179	4.5000	0.9579	0.9611
180	3.5000	0.7450	0.7475
181	4.5000	0.9579	0.9611
182	4.5000	0.9579	0.9611
183	4.5000	0.9579	0.9611
184	4.5000	0.9579	0.9611
185	3.5000	0.7450	0.7475
186	4.5000	0.9579	0.9611
187	4.5000	0.9579	0.9611
188	4.5000	0.9579	0.9611
189	4.5000	0.9579	0.9611
190	3.5000	0.7450	0.7475
191	3.5000	0.7450	0.7475
192	4.5000	0.9579	0.9611
193	4.5000	0.9579	0.9611
194	4.5000	0.9579	0.9611
195	3.5000	0.7450	0.7475
196	4.5000	0.9579	0.9611
197	4.5000	0.9579	0.9611
198	3.5000	0.7450	0.7475
199	4.5000	0.9579	0.9611
200	4.5000	0.9579	0.9611
201	2.5000	0.5321	0.5340
202	3.5000	0.7450	0.7475
203	3.5000	0.7450	0.7475
204	2.5000	0.5321	0.5340
205	4.5000	0.9579	0.9611
206	2.5000	0.5321	0.5340
207	3.5000	0.7450	0.7475
208	3.5000	0.7450	0.7475
209	4.5000	0.9579	0.9611
210	3.5000	0.7450	0.7475
211	3.5000	0.7450	0.7475
212	4.5000	0.9579	0.9611
213	4.5000	0.9579	0.9611
214	4.5000	0.9579	0.9611
215	3.5000	0.7450	0.7475
216	4.5000	0.9579	0.9611
217	3.5000	0.7450	0.7475
218	2.5000	0.5321	0.5340
219	4.5000	0.9579	0.9611
220	2.5000	0.5321	0.5340
221	4.5000	0.9579	0.9611
222	3.5000	0.7450	0.7475
223	4.5000	0.9579	0.9611
224	4.5000	0.9579	0.9611
225	4.5000	0.9579	0.9611
226	4.5000	0.9579	0.9611
227	4.5000	0.9579	0.9611
228	4.5000	0.9579	0.9611
229	4.5000	0.9579	0.9611
230	4.5000	0.9579	0.9611
231	3.5000	0.7450	0.7475
232	4.5000	0.9579	0.9611
233	4.5000	0.9579	0.9611
234	4.5000	0.9579	0.9611
235	3.5000	0.7450	0.7475
236	4.5000	0.9579	0.9611
237	2.5000	0.5321	0.5340
238	3.5000	0.7450	0.7475
239	4.5000	0.9579	0.9611
240	3.5000	0.7450	0.7475
241	4.5000	0.9579	0.9611
242	4.5000	0.9579	0.9611
243	4.5000	0.9579	0.9611
244	4.5000	0.9579	0.9611
245	4.5000	0.9579	0.9611
246	3.5000	0.7450	0.7475
247	2.5000	0.5321	0.5340
248	4.5000	0.9579	0.9611
249	4.5000	0.9579	0.9611
250	4.5000	0.9579	0.9611
251	4.5000	0.9579	0.9611
252	4.5000	0.9579	0.9611
253	4.5000	0.9579	0.9611
254	4.5000	0.9579	0.9611
255	4.5000	0.9579	0.9611
256	4.5000	0.9579	0.9611
257	3.5000	0.7450	0.7475
258	1.5000	0.3193	0.3204
259	3.5000	0.7450	0.7475
260	2.5000	0.5321	0.5340
261	4.5000	0.9579	0.9611
262	3.5000	0.7450	0.7475
263	3.5000	0.7450	0.7475
264	4.5000	0.9579	0.9611
265	4.5000	0.9579	0.9611
266	4.5000	0.9579	0.9611
267	3.5000	0.7450	0.7475
268	4.5000	0.9579	0.9611
269	3.5000	0.7450	0.7475
270	3.5000	0.7450	0.7475
271	4.5000	0.9579	0.9611
272	4.5000	0.9579	0.9611
273	3.5000	0.7450	0.7475
274	4.5000	0.9579	0.9611
275	4.5000	0.9579	0.9611
276	3.5000	0.7450	0.7475
277	4.5000	0.9579	0.9611
278	4.5000	0.9579	0.9611
279	4.5000	0.9579	0.9611
280	4.5000	0.9579	0.9611
281	3.5000	0.7450	0.7475
282	4.5000	0.9579	0.9611
283	4.5000	0.9579	0.9611
284	3.5000	0.7450	0.7475
285	4.5000	0.9579	0.9611
286	3.5000	0.7450	0.7475
287	3.5000	0.7450	0.7475
288	3.5000	0.7450	0.7475
289	2.5000	0.5321	0.5340
290	4.5000	0.9579	0.9611
291	4.5000	0.9579	0.9611
292	4.5000	0.9579	0.9611
293	4.5000	0.9579	0.9611
294	4.5000	0.9579	0.9611
295	4.5000	0.9579	0.9611
296	4.5000	0.9579	0.9611
297	4.5000	0.9579	0.9611
298	4.5000	0.9579	0.9611
299	4.5000	0.9579	0.9611
300	3.5000	0.7450	0.7475
301	4.5000	0.9579	0.9611
302	4.5000	0.9579	0.9611
303	3.5000	0.7450	0.7475
304	3.5000	0.7450	0.7475
305	3.5000	0.7450	0.7475
306	4.5000	0.9579	0.9611
307	3.5000	0.7450	0.7475
308	4.5000	0.9579	0.9611
309	3.5000	0.7450	0.7475
310	3.5000	0.7450	0.7475
311	3.5000	0.7450	0.7475
312	4.5000	0.9579	0.9611
313	2.5000	0.5321	0.5340
314	3.5000	0.7450	0.7475
315	3.5000	0.7450	0.7475
316	4.5000	0.9579	0.9611
317	2.5000	0.5321	0.5340
318	3.5000	0.7450	0.7475
319	3.5000	0.7450	0.7475
320	4.5000	0.9579	0.9611
321	4.5000	0.9579	0.9611
322	4.5000	0.9579	0.9611
323	4.5000	0.9579	0.9611
324	4.5000	0.9579	0.9611
325	4.5000	0.9579	0.9611
326	3.5000	0.7450	0.7475
327	3.5000	0.7450	0.7475
328	3.5000	0.7450	0.7475
329	4.5000	0.9579	0.9611
330	4.5000	0.9579	0.9611
331	4.5000	0.9579	0.9611
332	4.5000	0.9579	0.9611
333	4.5000	0.9579	0.9611
334	3.5000	0.7450	0.7475
335	4.5000	0.9579	0.9611
336	4.5000	0.9579	0.9611
337	4.5000	0.9579	0.9611
338	4.5000	0.9579	0.9611
339	4.5000	0.9579	0.9611
340	3.5000	0.7450	0.7475
341	4.5000	0.9579	0.9611
342	4.5000	0.9579	0.9611
343	4.5000	0.9579	0.9611
344	4.5000	0.9579	0.9611
345	2.5000	0.5321	0.5340
346	4.5000	0.9579	0.9611
347	3.5000	0.7450	0.7475
348	3.5000	0.7450	0.7475
349	4.5000	0.9579	0.9611
350	3.5000	0.7450	0.7475
351	4.5000	0.9579	0.9611
352	1.5000	0.3193	0.3204
353	3.5000	0.7450	0.7475
354	3.5000	0.7450	0.7475
355	4.5000	0.9579	0.9611
356	4.5000	0.9579	0.9611
357	4.5000	0.9579	0.9611
358	4.5000	0.9579	0.9611
359	4.5000	0.9579	0.9611
360	4.5000	0.9579	0.9611
361	2.5000	0.5321	0.5340
362	4.5000	0.9579	0.9611
363	4.5000	0.9579	0.9611
364	1.5000	0.3193	0.3204
365	4.5000	0.9579	0.9611
366	3.5000	0.7450	0.7475
367	4.5000	0.9579	0.9611
368	3.5000	0.7450	0.7475
369	4.5000	0.9579	0.9611
370	3.5000	0.7450	0.7475
371	4.5000	0.9579	0.9611
372	4.5000	0.9579	0.9611
373	4.5000	0.9579	0.9611
374	3.5000	0.7450	0.7475
375	3.5000	0.7450	0.7475
376	4.5000	0.9579	0.9611
377	4.5000	0.9579	0.9611
378	4.5000	0.9579	0.9611
379	3.5000	0.7450	0.7475
380	4.5000	0.9579	0.9611
381	4.5000	0.9579	0.9611
382	4.5000	0.9579	0.9611
383	3.5000	0.7450	0.7475
384	3.5000	0.7450	0.7475
385	4.5000	0.9579	0.9611
386	4.5000	0.9579	0.9611
387	3.5000	0.7450	0.7475
388	4.5000	0.9579	0.9611
389	4.5000	0.9579	0.9611
390	4.5000	0.9579	0.9611
391	3.5000	0.7450	0.7475
392	4.5000	0.9579	0.9611
393	4.5000	0.9579	0.9611
394	3.5000	0.7450	0.7475
395	3.5000	0.7450	0.7475
396	4.5000	0.9579	0.9611
397	4.5000	0.9579	0.9611
398	4.5000	0.9579	0.9611
399	4.5000	0.9579	0.9611
400	4.5000	0.9579	0.9611
401	3.5000	0.7450	0.7475
402	4.5000	0.9579	0.9611
403	3.5000	0.7450	0.7475
404	4.5000	0.9579	0.9611
405	4.5000	0.9579	0.9611
406	3.5000	0.7450	0.7475
407	4.5000	0.9579	0.9611
408	4.5000	0.9579	0.9611
409	4.5000	0.9579	0.9611
410	4.5000	0.9579	0.9611
411	4.5000	0.9579	0.9611
412	4.5000	0.9579	0.9611
413	4.5000	0.9579	0.9611
414	3.5000	0.7450	0.7475
415	4.5000	0.9579	0.9611
416	4.5000	0.9579	0.9611
417	4.5000	0.9579	0.9611
418	3.5000	0.7450	0.7475
419	4.5000	0.9579	0.9611
420	4.5000	0.9579	0.9611
421	4.5000	0.9579	0.9611
422	4.5000	0.9579	0.9611
423	4.5000	0.9579	0.9611
424	4.5000	0.9579	0.9611
425	4.5000	0.9579	0.9611
426	4.5000	0.9579	0.9611
427	4.5000	0.9579	0.9611
428	3.5000	0.7450	0.7475
429	4.5000	0.9579	0.9611
430	3.5000	0.7450	0.7475
431	4.5000	0.9579	0.9611
432	4.5000	0.9579	0.9611
433	3.5000	0.7450	0.7475
434	3.5000	0.7450	0.7475
435	4.5000	0.9579	0.9611
436	4.5000	0.9579	0.9611
437	4.5000	0.9579	0.9611
438	4.5000	0.9579	0.9611
439	3.5000	0.7450	0.7475
