Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	4.0000	1.1093	1.0998
2	4.0000	1.1093	1.0998
3	4.0000	1.1093	1.0998
4	4.0000	1.1093	1.0998
5	3.0000	0.8319	0.8249
6	4.0000	1.1093	1.0998
7	4.0000	1.1093	1.0998
8	4.0000	1.1093	1.0998
9	3.0000	0.8319	0.8249
10	4.0000	1.1093	1.0998
11	1.0000	0.2773	0.2750
12	4.0000	1.1093	1.0998
13	2.0000	0.5546	0.5499
14	4.0000	1.1093	1.0998
15	4.0000	1.1093	1.0998
16	4.0000	1.1093	1.0998
17	4.0000	1.1093	1.0998
18	3.0000	0.8319	0.8249
19	4.0000	1.1093	1.0998
20	3.0000	0.8319	0.8249
21	3.0000	0.8319	0.8249
22	2.0000	0.5546	0.5499
23	4.0000	1.1093	1.0998
24	4.0000	1.1093	1.0998
25	3.0000	0.8319	0.8249
26	4.0000	1.1093	1.0998
27	3.0000	0.8319	0.8249
28	4.0000	1.1093	1.0998
29	4.0000	1.1093	1.0998
30	1.0000	0.2773	0.2750
31	4.0000	1.1093	1.0998
32	4.0000	1.1093	1.0998
33	4.0000	1.1093	1.0998
34	4.0000	1.1093	1.0998
35	3.0000	0.8319	0.8249
36	3.0000	0.8319	0.8249
37	3.0000	0.8319	0.8249
38	4.0000	1.1093	1.0998
39	4.0000	1.1093	1.0998
40	4.0000	1.1093	1.0998
41	4.0000	1.1093	1.0998
42	4.0000	1.1093	1.0998
43	3.0000	0.8319	0.8249
44	4.0000	1.1093	1.0998
45	4.0000	1.1093	1.0998
46	4.0000	1.1093	1.0998
47	4.0000	1.1093	1.0998
48	4.0000	1.1093	1.0998
49	4.0000	1.1093	1.0998
50	4.0000	1.1093	1.0998
51	4.0000	1.1093	1.0998
52	3.0000	0.8319	0.8249
53	4.0000	1.1093	1.0998
54	3.0000	0.8319	0.8249
55	4.0000	1.1093	1.0998
56	4.0000	1.1093	1.0998
57	3.0000	0.8319	0.8249
58	3.0000	0.8319	0.8249
59	4.0000	1.1093	1.0998
60	4.0000	1.1093	1.0998
61	4.0000	1.1093	1.0998
62	4.0000	1.1093	1.0998
63	4.0000	1.1093	1.0998
64	4.0000	1.1093	1.0998
65	4.0000	1.1093	1.0998
66	4.0000	1.1093	1.0998
67	4.0000	1.1093	1.0998
68	3.0000	0.8319	0.8249
69	4.0000	1.1093	1.0998
70	4.0000	1.1093	1.0998
71	4.0000	1.1093	1.0998
72	4.0000	1.1093	1.0998
73	4.0000	1.1093	1.0998
74	4.0000	1.1093	1.0998
75	4.0000	1.1093	1.0998
76	4.0000	1.1093	1.0998
77	4.0000	1.1093	1.0998
78	4.0000	1.1093	1.0998
79	4.0000	1.1093	1.0998
80	4.0000	1.1093	1.0998
81	3.0000	0.8319	0.8249
