Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	11.0000	0.8718	0.8683
2	16.0000	1.2680	1.2629
3	12.0000	0.9510	0.9472
4	10.0000	0.7925	0.7893
5	9.0000	0.7133	0.7104
6	12.0000	0.9510	0.9472
7	12.0000	0.9510	0.9472
8	12.0000	0.9510	0.9472
9	12.0000	0.9510	0.9472
10	11.0000	0.8718	0.8683
11	11.0000	0.8718	0.8683
12	12.0000	0.9510	0.9472
13	14.0000	1.1095	1.1051
14	8.0000	0.6340	0.6315
15	12.0000	0.9510	0.9472
16	12.0000	0.9510	0.9472
17	10.0000	0.7925	0.7893
18	12.0000	0.9510	0.9472
19	9.0000	0.7133	0.7104
20	10.0000	0.7925	0.7893
21	12.0000	0.9510	0.9472
22	14.0000	1.1095	1.1051
23	14.0000	1.1095	1.1051
24	12.0000	0.9510	0.9472
25	13.0000	1.0303	1.0261
26	8.0000	0.6340	0.6315
27	11.0000	0.8718	0.8683
28	14.0000	1.1095	1.1051
29	12.0000	0.9510	0.9472
30	11.0000	0.8718	0.8683
31	12.0000	0.9510	0.9472
32	9.0000	0.7133	0.7104
33	10.0000	0.7925	0.7893
34	8.0000	0.6340	0.6315
35	8.0000	0.6340	0.6315
36	14.0000	1.1095	1.1051
37	12.0000	0.9510	0.9472
38	7.0000	0.5548	0.5525
39	11.0000	0.8718	0.8683
40	13.0000	1.0303	1.0261
41	8.0000	0.6340	0.6315
42	12.0000	0.9510	0.9472
43	14.0000	1.1095	1.1051
44	10.0000	0.7925	0.7893
45	12.0000	0.9510	0.9472
46	16.0000	1.2680	1.2629
47	10.0000	0.7925	0.7893
48	14.0000	1.1095	1.1051
49	12.0000	0.9510	0.9472
50	12.0000	0.9510	0.9472
51	12.0000	0.9510	0.9472
52	14.0000	1.1095	1.1051
53	11.0000	0.8718	0.8683
54	9.0000	0.7133	0.7104
55	13.0000	1.0303	1.0261
56	10.0000	0.7925	0.7893
57	12.0000	0.9510	0.9472
58	13.0000	1.0303	1.0261
59	10.0000	0.7925	0.7893
60	4.0000	0.3170	0.3157
61	9.0000	0.7133	0.7104
62	10.0000	0.7925	0.7893
63	13.0000	1.0303	1.0261
64	11.0000	0.8718	0.8683
65	10.0000	0.7925	0.7893
66	14.0000	1.1095	1.1051
67	8.0000	0.6340	0.6315
68	10.0000	0.7925	0.7893
69	12.0000	0.9510	0.9472
70	12.0000	0.9510	0.9472
71	11.0000	0.8718	0.8683
72	6.0000	0.4755	0.4736
73	12.0000	0.9510	0.9472
74	12.0000	0.9510	0.9472
75	9.0000	0.7133	0.7104
76	12.0000	0.9510	0.9472
77	14.0000	1.1095	1.1051
78	14.0000	1.1095	1.1051
79	12.0000	0.9510	0.9472
80	12.0000	0.9510	0.9472
81	11.0000	0.8718	0.8683
82	16.0000	1.2680	1.2629
83	12.0000	0.9510	0.9472
84	16.0000	1.2680	1.2629
85	14.0000	1.1095	1.1051
86	8.0000	0.6340	0.6315
87	10.0000	0.7925	0.7893
88	10.0000	0.7925	0.7893
89	12.0000	0.9510	0.9472
90	8.0000	0.6340	0.6315
91	8.0000	0.6340	0.6315
92	12.0000	0.9510	0.9472
