Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	7.0000	0.9498	0.9343
2	6.0000	0.8141	0.8009
3	9.0000	1.2212	1.2013
4	7.0000	0.9498	0.9343
5	6.0000	0.8141	0.8009
6	7.0000	0.9498	0.9343
7	7.0000	0.9498	0.9343
8	9.0000	1.2212	1.2013
9	7.0000	0.9498	0.9343
10	7.0000	0.9498	0.9343
11	8.0000	1.0855	1.0678
12	7.0000	0.9498	0.9343
13	8.0000	1.0855	1.0678
14	5.0000	0.6784	0.6674
15	7.0000	0.9498	0.9343
16	9.0000	1.2212	1.2013
17	6.0000	0.8141	0.8009
18	9.0000	1.2212	1.2013
19	6.0000	0.8141	0.8009
20	6.0000	0.8141	0.8009
21	8.0000	1.0855	1.0678
22	10.0000	1.3569	1.3348
23	10.0000	1.3569	1.3348
24	8.0000	1.0855	1.0678
25	8.0000	1.0855	1.0678
26	6.0000	0.8141	0.8009
27	8.0000	1.0855	1.0678
28	8.0000	1.0855	1.0678
29	7.0000	0.9498	0.9343
30	8.0000	1.0855	1.0678
31	7.0000	0.9498	0.9343
32	4.0000	0.5427	0.5339
33	5.0000	0.6784	0.6674
34	5.0000	0.6784	0.6674
35	6.0000	0.8141	0.8009
36	9.0000	1.2212	1.2013
37	9.0000	1.2212	1.2013
38	6.0000	0.8141	0.8009
39	8.0000	1.0855	1.0678
40	9.0000	1.2212	1.2013
41	2.0000	0.2714	0.2670
42	8.0000	1.0855	1.0678
43	9.0000	1.2212	1.2013
44	6.0000	0.8141	0.8009
45	8.0000	1.0855	1.0678
46	9.0000	1.2212	1.2013
47	5.0000	0.6784	0.6674
48	10.0000	1.3569	1.3348
49	9.0000	1.2212	1.2013
50	7.0000	0.9498	0.9343
51	9.0000	1.2212	1.2013
52	9.0000	1.2212	1.2013
53	7.0000	0.9498	0.9343
54	6.0000	0.8141	0.8009
55	9.0000	1.2212	1.2013
56	7.0000	0.9498	0.9343
57	7.0000	0.9498	0.9343
58	9.0000	1.2212	1.2013
59	8.0000	1.0855	1.0678
60	3.0000	0.4071	0.4004
61	7.0000	0.9498	0.9343
62	8.0000	1.0855	1.0678
63	9.0000	1.2212	1.2013
64	8.0000	1.0855	1.0678
65	8.0000	1.0855	1.0678
66	7.0000	0.9498	0.9343
67	5.0000	0.6784	0.6674
68	6.0000	0.8141	0.8009
69	7.0000	0.9498	0.9343
70	9.0000	1.2212	1.2013
71	8.0000	1.0855	1.0678
72	4.0000	0.5427	0.5339
73	9.0000	1.2212	1.2013
74	7.0000	0.9498	0.9343
75	6.0000	0.8141	0.8009
76	8.0000	1.0855	1.0678
77	9.0000	1.2212	1.2013
78	9.0000	1.2212	1.2013
79	9.0000	1.2212	1.2013
80	8.0000	1.0855	1.0678
81	8.0000	1.0855	1.0678
82	9.0000	1.2212	1.2013
83	6.0000	0.8141	0.8009
84	9.0000	1.2212	1.2013
85	7.0000	0.9498	0.9343
86	6.0000	0.8141	0.8009
87	7.0000	0.9498	0.9343
88	6.0000	0.8141	0.8009
89	8.0000	1.0855	1.0678
90	7.0000	0.9498	0.9343
91	4.0000	0.5427	0.5339
92	8.0000	1.0855	1.0678
93	6.0000	0.8141	0.8009
94	9.0000	1.2212	1.2013
95	8.0000	1.0855	1.0678
96	9.0000	1.2212	1.2013
97	8.0000	1.0855	1.0678
98	8.0000	1.0855	1.0678
99	9.0000	1.2212	1.2013
100	7.0000	0.9498	0.9343
101	8.0000	1.0855	1.0678
102	6.0000	0.8141	0.8009
103	6.0000	0.8141	0.8009
104	9.0000	1.2212	1.2013
105	8.0000	1.0855	1.0678
106	4.0000	0.5427	0.5339
107	8.0000	1.0855	1.0678
108	9.0000	1.2212	1.2013
109	9.0000	1.2212	1.2013
110	8.0000	1.0855	1.0678
111	6.0000	0.8141	0.8009
112	8.0000	1.0855	1.0678
113	8.0000	1.0855	1.0678
114	4.0000	0.5427	0.5339
115	9.0000	1.2212	1.2013
116	7.0000	0.9498	0.9343
117	5.0000	0.6784	0.6674
118	9.0000	1.2212	1.2013
119	5.0000	0.6784	0.6674
120	10.0000	1.3569	1.3348
121	7.0000	0.9498	0.9343
122	9.0000	1.2212	1.2013
123	2.0000	0.2714	0.2670
124	3.0000	0.4071	0.4004
125	7.0000	0.9498	0.9343
126	7.0000	0.9498	0.9343
127	9.0000	1.2212	1.2013
128	4.0000	0.5427	0.5339
129	9.0000	1.2212	1.2013
130	8.0000	1.0855	1.0678
131	6.0000	0.8141	0.8009
132	8.0000	1.0855	1.0678
133	3.0000	0.4071	0.4004
134	7.0000	0.9498	0.9343
135	8.0000	1.0855	1.0678
136	7.0000	0.9498	0.9343
137	7.0000	0.9498	0.9343
138	9.0000	1.2212	1.2013
139	6.0000	0.8141	0.8009
140	4.0000	0.5427	0.5339
141	9.0000	1.2212	1.2013
142	7.0000	0.9498	0.9343
143	4.0000	0.5427	0.5339
144	7.0000	0.9498	0.9343
145	8.0000	1.0855	1.0678
146	8.0000	1.0855	1.0678
147	8.0000	1.0855	1.0678
