Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	3.5000	0.7450	0.7475
2	4.5000	0.9579	0.9611
3	4.5000	0.9579	0.9611
4	4.5000	0.9579	0.9611
5	3.5000	0.7450	0.7475
6	4.5000	0.9579	0.9611
7	4.5000	0.9579	0.9611
8	4.5000	0.9579	0.9611
9	4.5000	0.9579	0.9611
10	3.5000	0.7450	0.7475
11	4.5000	0.9579	0.9611
12	3.5000	0.7450	0.7475
13	4.5000	0.9579	0.9611
14	3.5000	0.7450	0.7475
15	4.5000	0.9579	0.9611
16	4.5000	0.9579	0.9611
17	3.5000	0.7450	0.7475
18	4.5000	0.9579	0.9611
19	3.5000	0.7450	0.7475
20	4.5000	0.9579	0.9611
21	4.5000	0.9579	0.9611
22	4.5000	0.9579	0.9611
23	4.5000	0.9579	0.9611
24	4.5000	0.9579	0.9611
25	4.5000	0.9579	0.9611
26	3.5000	0.7450	0.7475
27	4.5000	0.9579	0.9611
28	4.5000	0.9579	0.9611
29	4.5000	0.9579	0.9611
30	4.5000	0.9579	0.9611
31	4.5000	0.9579	0.9611
32	2.5000	0.5321	0.5340
33	3.5000	0.7450	0.7475
34	3.5000	0.7450	0.7475
35	3.5000	0.7450	0.7475
36	4.5000	0.9579	0.9611
37	4.5000	0.9579	0.9611
38	3.5000	0.7450	0.7475
39	4.5000	0.9579	0.9611
40	4.5000	0.9579	0.9611
41	2.5000	0.5321	0.5340
42	4.5000	0.9579	0.9611
43	4.5000	0.9579	0.9611
44	3.5000	0.7450	0.7475
45	4.5000	0.9579	0.9611
46	4.5000	0.9579	0.9611
47	4.5000	0.9579	0.9611
48	4.5000	0.9579	0.9611
49	4.5000	0.9579	0.9611
50	3.5000	0.7450	0.7475
51	4.5000	0.9579	0.9611
52	4.5000	0.9579	0.9611
53	3.5000	0.7450	0.7475
54	4.5000	0.9579	0.9611
55	4.5000	0.9579	0.9611
56	3.5000	0.7450	0.7475
57	4.5000	0.9579	0.9611
58	4.5000	0.9579	0.9611
59	4.5000	0.9579	0.9611
60	1.5000	0.3193	0.3204
61	4.5000	0.9579	0.9611
62	4.5000	0.9579	0.9611
63	4.5000	0.9579	0.9611
64	4.5000	0.9579	0.9611
65	4.5000	0.9579	0.9611
66	4.5000	0.9579	0.9611
67	3.5000	0.7450	0.7475
68	3.5000	0.7450	0.7475
69	4.5000	0.9579	0.9611
70	4.5000	0.9579	0.9611
71	4.5000	0.9579	0.9611
72	3.5000	0.7450	0.7475
73	4.5000	0.9579	0.9611
74	4.5000	0.9579	0.9611
75	3.5000	0.7450	0.7475
76	4.5000	0.9579	0.9611
77	4.5000	0.9579	0.9611
78	4.5000	0.9579	0.9611
