Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	3.0000	0.8319	0.8249
2	3.0000	0.8319	0.8249
3	4.0000	1.1093	1.0998
4	4.0000	1.1093	1.0998
5	3.0000	0.8319	0.8249
6	4.0000	1.1093	1.0998
7	4.0000	1.1093	1.0998
8	4.0000	1.1093	1.0998
9	4.0000	1.1093	1.0998
10	3.0000	0.8319	0.8249
11	4.0000	1.1093	1.0998
12	3.0000	0.8319	0.8249
13	4.0000	1.1093	1.0998
14	3.0000	0.8319	0.8249
15	4.0000	1.1093	1.0998
16	4.0000	1.1093	1.0998
17	3.0000	0.8319	0.8249
18	4.0000	1.1093	1.0998
19	3.0000	0.8319	0.8249
20	4.0000	1.1093	1.0998
21	4.0000	1.1093	1.0998
22	4.0000	1.1093	1.0998
23	4.0000	1.1093	1.0998
24	4.0000	1.1093	1.0998
25	4.0000	1.1093	1.0998
26	3.0000	0.8319	0.8249
27	4.0000	1.1093	1.0998
28	4.0000	1.1093	1.0998
29	4.0000	1.1093	1.0998
30	4.0000	1.1093	1.0998
31	4.0000	1.1093	1.0998
32	2.0000	0.5546	0.5499
33	3.0000	0.8319	0.8249
34	3.0000	0.8319	0.8249
35	3.0000	0.8319	0.8249
36	4.0000	1.1093	1.0998
37	4.0000	1.1093	1.0998
38	3.0000	0.8319	0.8249
39	4.0000	1.1093	1.0998
40	4.0000	1.1093	1.0998
41	1.0000	0.2773	0.2750
42	4.0000	1.1093	1.0998
43	4.0000	1.1093	1.0998
44	3.0000	0.8319	0.8249
45	4.0000	1.1093	1.0998
46	4.0000	1.1093	1.0998
47	3.0000	0.8319	0.8249
48	4.0000	1.1093	1.0998
49	4.0000	1.1093	1.0998
50	3.0000	0.8319	0.8249
51	4.0000	1.1093	1.0998
52	4.0000	1.1093	1.0998
53	3.0000	0.8319	0.8249
54	4.0000	1.1093	1.0998
55	4.0000	1.1093	1.0998
56	3.0000	0.8319	0.8249
57	4.0000	1.1093	1.0998
58	4.0000	1.1093	1.0998
59	4.0000	1.1093	1.0998
60	1.0000	0.2773	0.2750
61	4.0000	1.1093	1.0998
62	4.0000	1.1093	1.0998
63	4.0000	1.1093	1.0998
64	4.0000	1.1093	1.0998
65	4.0000	1.1093	1.0998
66	4.0000	1.1093	1.0998
67	3.0000	0.8319	0.8249
68	3.0000	0.8319	0.8249
69	4.0000	1.1093	1.0998
70	4.0000	1.1093	1.0998
71	4.0000	1.1093	1.0998
72	3.0000	0.8319	0.8249
73	4.0000	1.1093	1.0998
74	4.0000	1.1093	1.0998
75	3.0000	0.8319	0.8249
76	4.0000	1.1093	1.0998
77	4.0000	1.1093	1.0998
78	4.0000	1.1093	1.0998
79	4.0000	1.1093	1.0998
80	4.0000	1.1093	1.0998
81	4.0000	1.1093	1.0998
82	4.0000	1.1093	1.0998
83	3.0000	0.8319	0.8249
84	4.0000	1.1093	1.0998
85	4.0000	1.1093	1.0998
86	4.0000	1.1093	1.0998
87	4.0000	1.1093	1.0998
88	3.0000	0.8319	0.8249
89	4.0000	1.1093	1.0998
90	4.0000	1.1093	1.0998
91	2.0000	0.5546	0.5499
92	4.0000	1.1093	1.0998
93	3.0000	0.8319	0.8249
94	4.0000	1.1093	1.0998
95	4.0000	1.1093	1.0998
96	4.0000	1.1093	1.0998
97	4.0000	1.1093	1.0998
98	4.0000	1.1093	1.0998
99	4.0000	1.1093	1.0998
100	4.0000	1.1093	1.0998
101	4.0000	1.1093	1.0998
102	3.0000	0.8319	0.8249
103	3.0000	0.8319	0.8249
104	4.0000	1.1093	1.0998
105	4.0000	1.1093	1.0998
106	3.0000	0.8319	0.8249
107	4.0000	1.1093	1.0998
108	4.0000	1.1093	1.0998
109	4.0000	1.1093	1.0998
110	4.0000	1.1093	1.0998
111	4.0000	1.1093	1.0998
112	4.0000	1.1093	1.0998
113	4.0000	1.1093	1.0998
114	3.0000	0.8319	0.8249
115	4.0000	1.1093	1.0998
116	3.0000	0.8319	0.8249
117	3.0000	0.8319	0.8249
118	4.0000	1.1093	1.0998
119	3.0000	0.8319	0.8249
120	4.0000	1.1093	1.0998
121	4.0000	1.1093	1.0998
122	4.0000	1.1093	1.0998
123	1.0000	0.2773	0.2750
124	2.0000	0.5546	0.5499
125	3.0000	0.8319	0.8249
126	3.0000	0.8319	0.8249
127	4.0000	1.1093	1.0998
128	2.0000	0.5546	0.5499
129	4.0000	1.1093	1.0998
130	4.0000	1.1093	1.0998
131	3.0000	0.8319	0.8249
132	4.0000	1.1093	1.0998
133	2.0000	0.5546	0.5499
134	3.0000	0.8319	0.8249
135	4.0000	1.1093	1.0998
136	4.0000	1.1093	1.0998
137	4.0000	1.1093	1.0998
138	4.0000	1.1093	1.0998
139	3.0000	0.8319	0.8249
140	2.0000	0.5546	0.5499
141	4.0000	1.1093	1.0998
142	4.0000	1.1093	1.0998
143	3.0000	0.8319	0.8249
144	4.0000	1.1093	1.0998
145	4.0000	1.1093	1.0998
146	4.0000	1.1093	1.0998
147	4.0000	1.1093	1.0998
148	4.0000	1.1093	1.0998
149	3.0000	0.8319	0.8249
150	4.0000	1.1093	1.0998
151	4.0000	1.1093	1.0998
152	4.0000	1.1093	1.0998
153	4.0000	1.1093	1.0998
154	3.0000	0.8319	0.8249
155	1.0000	0.2773	0.2750
156	2.0000	0.5546	0.5499
157	3.0000	0.8319	0.8249
158	4.0000	1.1093	1.0998
159	4.0000	1.1093	1.0998
160	4.0000	1.1093	1.0998
161	4.0000	1.1093	1.0998
162	4.0000	1.1093	1.0998
163	4.0000	1.1093	1.0998
164	3.0000	0.8319	0.8249
165	4.0000	1.1093	1.0998
166	4.0000	1.1093	1.0998
167	3.0000	0.8319	0.8249
168	4.0000	1.1093	1.0998
169	3.0000	0.8319	0.8249
170	2.0000	0.5546	0.5499
171	3.0000	0.8319	0.8249
172	3.0000	0.8319	0.8249
173	4.0000	1.1093	1.0998
174	3.0000	0.8319	0.8249
175	4.0000	1.1093	1.0998
176	3.0000	0.8319	0.8249
177	4.0000	1.1093	1.0998
178	3.0000	0.8319	0.8249
179	3.0000	0.8319	0.8249
180	3.0000	0.8319	0.8249
181	4.0000	1.1093	1.0998
182	4.0000	1.1093	1.0998
183	3.0000	0.8319	0.8249
184	4.0000	1.1093	1.0998
185	3.0000	0.8319	0.8249
186	4.0000	1.1093	1.0998
187	4.0000	1.1093	1.0998
188	4.0000	1.1093	1.0998
189	4.0000	1.1093	1.0998
190	4.0000	1.1093	1.0998
191	3.0000	0.8319	0.8249
192	4.0000	1.1093	1.0998
193	4.0000	1.1093	1.0998
194	4.0000	1.1093	1.0998
195	3.0000	0.8319	0.8249
196	4.0000	1.1093	1.0998
197	4.0000	1.1093	1.0998
198	4.0000	1.1093	1.0998
199	4.0000	1.1093	1.0998
200	4.0000	1.1093	1.0998
201	4.0000	1.1093	1.0998
202	4.0000	1.1093	1.0998
203	3.0000	0.8319	0.8249
204	4.0000	1.1093	1.0998
205	3.0000	0.8319	0.8249
206	4.0000	1.1093	1.0998
207	3.0000	0.8319	0.8249
208	4.0000	1.1093	1.0998
209	4.0000	1.1093	1.0998
210	4.0000	1.1093	1.0998
211	3.0000	0.8319	0.8249
212	4.0000	1.1093	1.0998
213	3.0000	0.8319	0.8249
214	3.0000	0.8319	0.8249
215	4.0000	1.1093	1.0998
216	4.0000	1.1093	1.0998
217	4.0000	1.1093	1.0998
218	4.0000	1.1093	1.0998
219	3.0000	0.8319	0.8249
220	4.0000	1.1093	1.0998
221	4.0000	1.1093	1.0998
222	3.0000	0.8319	0.8249
223	2.0000	0.5546	0.5499
224	2.0000	0.5546	0.5499
225	4.0000	1.1093	1.0998
226	4.0000	1.1093	1.0998
227	3.0000	0.8319	0.8249
228	4.0000	1.1093	1.0998
229	3.0000	0.8319	0.8249
230	4.0000	1.1093	1.0998
231	3.0000	0.8319	0.8249
232	4.0000	1.1093	1.0998
233	4.0000	1.1093	1.0998
234	4.0000	1.1093	1.0998
235	3.0000	0.8319	0.8249
236	3.0000	0.8319	0.8249
237	4.0000	1.1093	1.0998
238	4.0000	1.1093	1.0998
239	3.0000	0.8319	0.8249
240	4.0000	1.1093	1.0998
241	3.0000	0.8319	0.8249
242	3.0000	0.8319	0.8249
243	4.0000	1.1093	1.0998
244	4.0000	1.1093	1.0998
245	4.0000	1.1093	1.0998
246	4.0000	1.1093	1.0998
247	4.0000	1.1093	1.0998
248	4.0000	1.1093	1.0998
249	4.0000	1.1093	1.0998
250	4.0000	1.1093	1.0998
251	4.0000	1.1093	1.0998
252	1.0000	0.2773	0.2750
253	4.0000	1.1093	1.0998
254	3.0000	0.8319	0.8249
255	4.0000	1.1093	1.0998
256	4.0000	1.1093	1.0998
257	3.0000	0.8319	0.8249
258	4.0000	1.1093	1.0998
259	2.0000	0.5546	0.5499
260	4.0000	1.1093	1.0998
261	4.0000	1.1093	1.0998
262	3.0000	0.8319	0.8249
263	4.0000	1.1093	1.0998
264	4.0000	1.1093	1.0998
265	4.0000	1.1093	1.0998
