Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	11.0000	0.8718	0.8683
2	10.0000	0.7925	0.7893
3	10.0000	0.7925	0.7893
4	8.0000	0.6340	0.6315
5	9.0000	0.7133	0.7104
6	10.0000	0.7925	0.7893
7	12.0000	0.9510	0.9472
8	12.0000	0.9510	0.9472
9	10.0000	0.7925	0.7893
10	13.0000	1.0303	1.0261
11	11.0000	0.8718	0.8683
12	12.0000	0.9510	0.9472
13	12.0000	0.9510	0.9472
14	14.0000	1.1095	1.1051
15	10.0000	0.7925	0.7893
16	12.0000	0.9510	0.9472
17	14.0000	1.1095	1.1051
18	12.0000	0.9510	0.9472
19	13.0000	1.0303	1.0261
20	10.0000	0.7925	0.7893
21	10.0000	0.7925	0.7893
22	8.0000	0.6340	0.6315
23	14.0000	1.1095	1.1051
24	8.0000	0.6340	0.6315
25	7.0000	0.5548	0.5525
26	14.0000	1.1095	1.1051
27	11.0000	0.8718	0.8683
28	12.0000	0.9510	0.9472
29	12.0000	0.9510	0.9472
30	13.0000	1.0303	1.0261
31	10.0000	0.7925	0.7893
32	9.0000	0.7133	0.7104
33	10.0000	0.7925	0.7893
34	14.0000	1.1095	1.1051
35	14.0000	1.1095	1.1051
36	8.0000	0.6340	0.6315
37	12.0000	0.9510	0.9472
38	11.0000	0.8718	0.8683
39	13.0000	1.0303	1.0261
40	9.0000	0.7133	0.7104
41	8.0000	0.6340	0.6315
42	10.0000	0.7925	0.7893
43	10.0000	0.7925	0.7893
44	14.0000	1.1095	1.1051
45	10.0000	0.7925	0.7893
46	12.0000	0.9510	0.9472
47	6.0000	0.4755	0.4736
48	12.0000	0.9510	0.9472
49	12.0000	0.9510	0.9472
50	10.0000	0.7925	0.7893
51	10.0000	0.7925	0.7893
52	12.0000	0.9510	0.9472
53	13.0000	1.0303	1.0261
54	9.0000	0.7133	0.7104
55	13.0000	1.0303	1.0261
56	12.0000	0.9510	0.9472
57	12.0000	0.9510	0.9472
58	11.0000	0.8718	0.8683
59	12.0000	0.9510	0.9472
60	12.0000	0.9510	0.9472
61	11.0000	0.8718	0.8683
62	12.0000	0.9510	0.9472
63	13.0000	1.0303	1.0261
64	7.0000	0.5548	0.5525
65	12.0000	0.9510	0.9472
66	14.0000	1.1095	1.1051
67	12.0000	0.9510	0.9472
68	14.0000	1.1095	1.1051
69	10.0000	0.7925	0.7893
70	12.0000	0.9510	0.9472
71	7.0000	0.5548	0.5525
72	10.0000	0.7925	0.7893
73	12.0000	0.9510	0.9472
74	10.0000	0.7925	0.7893
75	9.0000	0.7133	0.7104
76	12.0000	0.9510	0.9472
77	10.0000	0.7925	0.7893
78	12.0000	0.9510	0.9472
79	10.0000	0.7925	0.7893
80	10.0000	0.7925	0.7893
81	11.0000	0.8718	0.8683
82	16.0000	1.2680	1.2629
83	14.0000	1.1095	1.1051
84	14.0000	1.1095	1.1051
85	12.0000	0.9510	0.9472
86	14.0000	1.1095	1.1051
87	12.0000	0.9510	0.9472
88	10.0000	0.7925	0.7893
89	12.0000	0.9510	0.9472
90	10.0000	0.7925	0.7893
91	10.0000	0.7925	0.7893
92	8.0000	0.6340	0.6315
93	10.0000	0.7925	0.7893
94	12.0000	0.9510	0.9472
95	12.0000	0.9510	0.9472
96	14.0000	1.1095	1.1051
97	12.0000	0.9510	0.9472
98	10.0000	0.7925	0.7893
99	10.0000	0.7925	0.7893
100	12.0000	0.9510	0.9472
101	11.0000	0.8718	0.8683
102	12.0000	0.9510	0.9472
103	8.0000	0.6340	0.6315
104	10.0000	0.7925	0.7893
105	10.0000	0.7925	0.7893
106	9.0000	0.7133	0.7104
107	14.0000	1.1095	1.1051
108	10.0000	0.7925	0.7893
109	12.0000	0.9510	0.9472
110	14.0000	1.1095	1.1051
111	10.0000	0.7925	0.7893
112	8.0000	0.6340	0.6315
113	13.0000	1.0303	1.0261
114	9.0000	0.7133	0.7104
115	12.0000	0.9510	0.9472
116	13.0000	1.0303	1.0261
117	14.0000	1.1095	1.1051
118	10.0000	0.7925	0.7893
119	8.0000	0.6340	0.6315
120	10.0000	0.7925	0.7893
121	6.0000	0.4755	0.4736
122	10.0000	0.7925	0.7893
123	7.0000	0.5548	0.5525
124	8.0000	0.6340	0.6315
125	10.0000	0.7925	0.7893
126	12.0000	0.9510	0.9472
127	11.0000	0.8718	0.8683
128	13.0000	1.0303	1.0261
129	14.0000	1.1095	1.1051
130	11.0000	0.8718	0.8683
131	12.0000	0.9510	0.9472
132	4.0000	0.3170	0.3157
133	14.0000	1.1095	1.1051
134	12.0000	0.9510	0.9472
135	14.0000	1.1095	1.1051
136	12.0000	0.9510	0.9472
137	12.0000	0.9510	0.9472
138	12.0000	0.9510	0.9472
139	12.0000	0.9510	0.9472
140	10.0000	0.7925	0.7893
141	10.0000	0.7925	0.7893
142	14.0000	1.1095	1.1051
143	12.0000	0.9510	0.9472
144	12.0000	0.9510	0.9472
145	14.0000	1.1095	1.1051
146	12.0000	0.9510	0.9472
147	10.0000	0.7925	0.7893
148	11.0000	0.8718	0.8683
149	10.0000	0.7925	0.7893
150	12.0000	0.9510	0.9472
151	10.0000	0.7925	0.7893
152	11.0000	0.8718	0.8683
153	8.0000	0.6340	0.6315
154	14.0000	1.1095	1.1051
155	9.0000	0.7133	0.7104
156	12.0000	0.9510	0.9472
157	12.0000	0.9510	0.9472
158	12.0000	0.9510	0.9472
159	12.0000	0.9510	0.9472
160	11.0000	0.8718	0.8683
161	16.0000	1.2680	1.2629
162	9.0000	0.7133	0.7104
163	10.0000	0.7925	0.7893
164	12.0000	0.9510	0.9472
165	12.0000	0.9510	0.9472
166	8.0000	0.6340	0.6315
167	12.0000	0.9510	0.9472
168	11.0000	0.8718	0.8683
169	14.0000	1.1095	1.1051
170	10.0000	0.7925	0.7893
171	12.0000	0.9510	0.9472
172	13.0000	1.0303	1.0261
173	10.0000	0.7925	0.7893
174	10.0000	0.7925	0.7893
175	12.0000	0.9510	0.9472
176	10.0000	0.7925	0.7893
