Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	8.0000	1.0855	1.0678
2	5.0000	0.6784	0.6674
3	7.0000	0.9498	0.9343
4	6.0000	0.8141	0.8009
5	4.0000	0.5427	0.5339
6	7.0000	0.9498	0.9343
7	9.0000	1.2212	1.2013
8	8.0000	1.0855	1.0678
9	8.0000	1.0855	1.0678
10	8.0000	1.0855	1.0678
11	9.0000	1.2212	1.2013
12	8.0000	1.0855	1.0678
13	9.0000	1.2212	1.2013
14	6.0000	0.8141	0.8009
15	6.0000	0.8141	0.8009
16	7.0000	0.9498	0.9343
17	9.0000	1.2212	1.2013
18	8.0000	1.0855	1.0678
19	8.0000	1.0855	1.0678
20	6.0000	0.8141	0.8009
21	6.0000	0.8141	0.8009
22	7.0000	0.9498	0.9343
23	9.0000	1.2212	1.2013
24	3.0000	0.4071	0.4004
25	4.0000	0.5427	0.5339
26	10.0000	1.3569	1.3348
27	8.0000	1.0855	1.0678
28	6.0000	0.8141	0.8009
29	6.0000	0.8141	0.8009
30	9.0000	1.2212	1.2013
31	7.0000	0.9498	0.9343
32	4.0000	0.5427	0.5339
33	7.0000	0.9498	0.9343
34	7.0000	0.9498	0.9343
35	10.0000	1.3569	1.3348
36	7.0000	0.9498	0.9343
37	8.0000	1.0855	1.0678
38	9.0000	1.2212	1.2013
39	9.0000	1.2212	1.2013
40	7.0000	0.9498	0.9343
41	6.0000	0.8141	0.8009
42	8.0000	1.0855	1.0678
43	7.0000	0.9498	0.9343
44	9.0000	1.2212	1.2013
45	9.0000	1.2212	1.2013
46	8.0000	1.0855	1.0678
47	3.0000	0.4071	0.4004
48	7.0000	0.9498	0.9343
49	7.0000	0.9498	0.9343
50	8.0000	1.0855	1.0678
51	4.0000	0.5427	0.5339
52	9.0000	1.2212	1.2013
53	8.0000	1.0855	1.0678
54	6.0000	0.8141	0.8009
55	9.0000	1.2212	1.2013
56	9.0000	1.2212	1.2013
57	9.0000	1.2212	1.2013
58	8.0000	1.0855	1.0678
59	7.0000	0.9498	0.9343
60	7.0000	0.9498	0.9343
61	9.0000	1.2212	1.2013
62	6.0000	0.8141	0.8009
63	9.0000	1.2212	1.2013
64	4.0000	0.5427	0.5339
65	10.0000	1.3569	1.3348
66	9.0000	1.2212	1.2013
67	3.0000	0.4071	0.4004
68	10.0000	1.3569	1.3348
69	7.0000	0.9498	0.9343
70	7.0000	0.9498	0.9343
71	4.0000	0.5427	0.5339
72	4.0000	0.5427	0.5339
73	7.0000	0.9498	0.9343
74	7.0000	0.9498	0.9343
75	7.0000	0.9498	0.9343
76	9.0000	1.2212	1.2013
77	7.0000	0.9498	0.9343
78	9.0000	1.2212	1.2013
79	7.0000	0.9498	0.9343
80	7.0000	0.9498	0.9343
81	7.0000	0.9498	0.9343
82	9.0000	1.2212	1.2013
83	8.0000	1.0855	1.0678
84	7.0000	0.9498	0.9343
85	9.0000	1.2212	1.2013
86	9.0000	1.2212	1.2013
87	7.0000	0.9498	0.9343
88	6.0000	0.8141	0.8009
89	9.0000	1.2212	1.2013
90	8.0000	1.0855	1.0678
91	6.0000	0.8141	0.8009
92	5.0000	0.6784	0.6674
93	8.0000	1.0855	1.0678
94	8.0000	1.0855	1.0678
95	9.0000	1.2212	1.2013
96	10.0000	1.3569	1.3348
97	10.0000	1.3569	1.3348
98	6.0000	0.8141	0.8009
99	9.0000	1.2212	1.2013
100	9.0000	1.2212	1.2013
101	8.0000	1.0855	1.0678
102	6.0000	0.8141	0.8009
103	5.0000	0.6784	0.6674
104	6.0000	0.8141	0.8009
105	7.0000	0.9498	0.9343
106	4.0000	0.5427	0.5339
107	5.0000	0.6784	0.6674
108	7.0000	0.9498	0.9343
109	7.0000	0.9498	0.9343
110	7.0000	0.9498	0.9343
111	6.0000	0.8141	0.8009
112	4.0000	0.5427	0.5339
113	8.0000	1.0855	1.0678
114	6.0000	0.8141	0.8009
115	10.0000	1.3569	1.3348
116	8.0000	1.0855	1.0678
117	9.0000	1.2212	1.2013
118	6.0000	0.8141	0.8009
119	4.0000	0.5427	0.5339
120	6.0000	0.8141	0.8009
121	3.0000	0.4071	0.4004
122	7.0000	0.9498	0.9343
123	5.0000	0.6784	0.6674
124	5.0000	0.6784	0.6674
125	8.0000	1.0855	1.0678
126	8.0000	1.0855	1.0678
127	8.0000	1.0855	1.0678
128	8.0000	1.0855	1.0678
129	8.0000	1.0855	1.0678
130	9.0000	1.2212	1.2013
131	9.0000	1.2212	1.2013
132	4.0000	0.5427	0.5339
133	5.0000	0.6784	0.6674
134	7.0000	0.9498	0.9343
135	9.0000	1.2212	1.2013
136	6.0000	0.8141	0.8009
137	7.0000	0.9498	0.9343
138	7.0000	0.9498	0.9343
139	7.0000	0.9498	0.9343
140	4.0000	0.5427	0.5339
141	6.0000	0.8141	0.8009
142	7.0000	0.9498	0.9343
143	8.0000	1.0855	1.0678
144	3.0000	0.4071	0.4004
145	8.0000	1.0855	1.0678
146	8.0000	1.0855	1.0678
147	8.0000	1.0855	1.0678
148	8.0000	1.0855	1.0678
149	5.0000	0.6784	0.6674
150	9.0000	1.2212	1.2013
151	6.0000	0.8141	0.8009
152	8.0000	1.0855	1.0678
153	6.0000	0.8141	0.8009
154	10.0000	1.3569	1.3348
155	6.0000	0.8141	0.8009
156	8.0000	1.0855	1.0678
157	9.0000	1.2212	1.2013
158	7.0000	0.9498	0.9343
159	7.0000	0.9498	0.9343
160	8.0000	1.0855	1.0678
161	3.0000	0.4071	0.4004
162	7.0000	0.9498	0.9343
163	7.0000	0.9498	0.9343
164	9.0000	1.2212	1.2013
165	7.0000	0.9498	0.9343
166	5.0000	0.6784	0.6674
167	9.0000	1.2212	1.2013
168	8.0000	1.0855	1.0678
169	9.0000	1.2212	1.2013
170	8.0000	1.0855	1.0678
171	9.0000	1.2212	1.2013
172	8.0000	1.0855	1.0678
173	6.0000	0.8141	0.8009
174	8.0000	1.0855	1.0678
175	8.0000	1.0855	1.0678
176	8.0000	1.0855	1.0678
177	10.0000	1.3569	1.3348
178	8.0000	1.0855	1.0678
179	5.0000	0.6784	0.6674
180	9.0000	1.2212	1.2013
181	9.0000	1.2212	1.2013
182	7.0000	0.9498	0.9343
183	9.0000	1.2212	1.2013
184	6.0000	0.8141	0.8009
185	10.0000	1.3569	1.3348
186	7.0000	0.9498	0.9343
187	9.0000	1.2212	1.2013
188	8.0000	1.0855	1.0678
189	5.0000	0.6784	0.6674
190	9.0000	1.2212	1.2013
191	8.0000	1.0855	1.0678
192	8.0000	1.0855	1.0678
193	9.0000	1.2212	1.2013
194	7.0000	0.9498	0.9343
195	7.0000	0.9498	0.9343
196	4.0000	0.5427	0.5339
197	4.0000	0.5427	0.5339
198	7.0000	0.9498	0.9343
199	7.0000	0.9498	0.9343
200	7.0000	0.9498	0.9343
201	9.0000	1.2212	1.2013
202	4.0000	0.5427	0.5339
203	6.0000	0.8141	0.8009
204	9.0000	1.2212	1.2013
205	9.0000	1.2212	1.2013
206	9.0000	1.2212	1.2013
207	9.0000	1.2212	1.2013
208	7.0000	0.9498	0.9343
209	9.0000	1.2212	1.2013
210	10.0000	1.3569	1.3348
211	8.0000	1.0855	1.0678
212	9.0000	1.2212	1.2013
213	6.0000	0.8141	0.8009
214	5.0000	0.6784	0.6674
215	10.0000	1.3569	1.3348
216	5.0000	0.6784	0.6674
217	7.0000	0.9498	0.9343
218	8.0000	1.0855	1.0678
219	10.0000	1.3569	1.3348
220	7.0000	0.9498	0.9343
221	8.0000	1.0855	1.0678
222	7.0000	0.9498	0.9343
223	7.0000	0.9498	0.9343
224	8.0000	1.0855	1.0678
225	4.0000	0.5427	0.5339
226	6.0000	0.8141	0.8009
227	9.0000	1.2212	1.2013
228	0.0000	0.0000	0.0000
229	8.0000	1.0855	1.0678
230	8.0000	1.0855	1.0678
231	7.0000	0.9498	0.9343
232	8.0000	1.0855	1.0678
233	9.0000	1.2212	1.2013
234	8.0000	1.0855	1.0678
235	9.0000	1.2212	1.2013
236	8.0000	1.0855	1.0678
237	9.0000	1.2212	1.2013
238	9.0000	1.2212	1.2013
239	8.0000	1.0855	1.0678
240	9.0000	1.2212	1.2013
241	8.0000	1.0855	1.0678
242	7.0000	0.9498	0.9343
243	7.0000	0.9498	0.9343
244	7.0000	0.9498	0.9343
245	6.0000	0.8141	0.8009
246	9.0000	1.2212	1.2013
247	9.0000	1.2212	1.2013
248	9.0000	1.2212	1.2013
249	9.0000	1.2212	1.2013
250	4.0000	0.5427	0.5339
251	7.0000	0.9498	0.9343
252	5.0000	0.6784	0.6674
253	8.0000	1.0855	1.0678
254	8.0000	1.0855	1.0678
255	6.0000	0.8141	0.8009
256	4.0000	0.5427	0.5339
257	7.0000	0.9498	0.9343
258	10.0000	1.3569	1.3348
259	5.0000	0.6784	0.6674
260	9.0000	1.2212	1.2013
261	9.0000	1.2212	1.2013
262	9.0000	1.2212	1.2013
263	9.0000	1.2212	1.2013
264	6.0000	0.8141	0.8009
265	7.0000	0.9498	0.9343
266	7.0000	0.9498	0.9343
267	8.0000	1.0855	1.0678
268	8.0000	1.0855	1.0678
269	8.0000	1.0855	1.0678
270	7.0000	0.9498	0.9343
271	10.0000	1.3569	1.3348
272	6.0000	0.8141	0.8009
273	8.0000	1.0855	1.0678
274	7.0000	0.9498	0.9343
275	9.0000	1.2212	1.2013
276	7.0000	0.9498	0.9343
277	9.0000	1.2212	1.2013
278	4.0000	0.5427	0.5339
279	6.0000	0.8141	0.8009
280	7.0000	0.9498	0.9343
281	6.0000	0.8141	0.8009
282	7.0000	0.9498	0.9343
283	10.0000	1.3569	1.3348
284	7.0000	0.9498	0.9343
285	8.0000	1.0855	1.0678
286	8.0000	1.0855	1.0678
287	9.0000	1.2212	1.2013
288	9.0000	1.2212	1.2013
289	9.0000	1.2212	1.2013
290	9.0000	1.2212	1.2013
291	4.0000	0.5427	0.5339
292	8.0000	1.0855	1.0678
293	4.0000	0.5427	0.5339
294	9.0000	1.2212	1.2013
295	5.0000	0.6784	0.6674
296	7.0000	0.9498	0.9343
297	9.0000	1.2212	1.2013
298	7.0000	0.9498	0.9343
299	6.0000	0.8141	0.8009
300	4.0000	0.5427	0.5339
