Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	4.5000	0.9579	0.9611
2	3.5000	0.7450	0.7475
3	4.5000	0.9579	0.9611
4	3.5000	0.7450	0.7475
5	3.5000	0.7450	0.7475
6	3.5000	0.7450	0.7475
7	4.5000	0.9579	0.9611
8	4.5000	0.9579	0.9611
9	4.5000	0.9579	0.9611
10	4.5000	0.9579	0.9611
11	4.5000	0.9579	0.9611
12	4.5000	0.9579	0.9611
13	4.5000	0.9579	0.9611
14	4.5000	0.9579	0.9611
15	3.5000	0.7450	0.7475
16	3.5000	0.7450	0.7475
17	4.5000	0.9579	0.9611
18	4.5000	0.9579	0.9611
19	4.5000	0.9579	0.9611
20	3.5000	0.7450	0.7475
21	3.5000	0.7450	0.7475
22	4.5000	0.9579	0.9611
23	4.5000	0.9579	0.9611
24	2.5000	0.5321	0.5340
25	2.5000	0.5321	0.5340
26	4.5000	0.9579	0.9611
27	4.5000	0.9579	0.9611
28	3.5000	0.7450	0.7475
29	3.5000	0.7450	0.7475
30	4.5000	0.9579	0.9611
31	4.5000	0.9579	0.9611
32	3.5000	0.7450	0.7475
33	3.5000	0.7450	0.7475
34	4.5000	0.9579	0.9611
35	4.5000	0.9579	0.9611
36	3.5000	0.7450	0.7475
37	4.5000	0.9579	0.9611
38	4.5000	0.9579	0.9611
39	4.5000	0.9579	0.9611
40	3.5000	0.7450	0.7475
41	4.5000	0.9579	0.9611
42	4.5000	0.9579	0.9611
43	4.5000	0.9579	0.9611
44	4.5000	0.9579	0.9611
45	4.5000	0.9579	0.9611
46	4.5000	0.9579	0.9611
47	1.5000	0.3193	0.3204
48	3.5000	0.7450	0.7475
49	3.5000	0.7450	0.7475
50	4.5000	0.9579	0.9611
51	2.5000	0.5321	0.5340
52	4.5000	0.9579	0.9611
53	4.5000	0.9579	0.9611
54	3.5000	0.7450	0.7475
55	4.5000	0.9579	0.9611
56	4.5000	0.9579	0.9611
57	4.5000	0.9579	0.9611
58	4.5000	0.9579	0.9611
59	4.5000	0.9579	0.9611
60	4.5000	0.9579	0.9611
61	4.5000	0.9579	0.9611
62	3.5000	0.7450	0.7475
63	4.5000	0.9579	0.9611
64	2.5000	0.5321	0.5340
65	4.5000	0.9579	0.9611
66	4.5000	0.9579	0.9611
67	2.5000	0.5321	0.5340
68	4.5000	0.9579	0.9611
69	3.5000	0.7450	0.7475
70	4.5000	0.9579	0.9611
71	2.5000	0.5321	0.5340
72	3.5000	0.7450	0.7475
73	4.5000	0.9579	0.9611
74	3.5000	0.7450	0.7475
75	3.5000	0.7450	0.7475
76	4.5000	0.9579	0.9611
77	4.5000	0.9579	0.9611
78	4.5000	0.9579	0.9611
79	3.5000	0.7450	0.7475
80	3.5000	0.7450	0.7475
81	4.5000	0.9579	0.9611
82	4.5000	0.9579	0.9611
83	4.5000	0.9579	0.9611
84	4.5000	0.9579	0.9611
85	4.5000	0.9579	0.9611
86	4.5000	0.9579	0.9611
87	3.5000	0.7450	0.7475
88	3.5000	0.7450	0.7475
89	4.5000	0.9579	0.9611
90	4.5000	0.9579	0.9611
91	4.5000	0.9579	0.9611
92	3.5000	0.7450	0.7475
93	4.5000	0.9579	0.9611
94	4.5000	0.9579	0.9611
95	4.5000	0.9579	0.9611
96	4.5000	0.9579	0.9611
97	4.5000	0.9579	0.9611
