Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	4.0000	1.1093	1.0998
2	3.0000	0.8319	0.8249
3	4.0000	1.1093	1.0998
4	3.0000	0.8319	0.8249
5	3.0000	0.8319	0.8249
6	3.0000	0.8319	0.8249
7	4.0000	1.1093	1.0998
8	4.0000	1.1093	1.0998
9	4.0000	1.1093	1.0998
10	4.0000	1.1093	1.0998
11	4.0000	1.1093	1.0998
12	4.0000	1.1093	1.0998
13	4.0000	1.1093	1.0998
14	4.0000	1.1093	1.0998
15	3.0000	0.8319	0.8249
16	3.0000	0.8319	0.8249
17	4.0000	1.1093	1.0998
18	4.0000	1.1093	1.0998
19	4.0000	1.1093	1.0998
20	3.0000	0.8319	0.8249
21	3.0000	0.8319	0.8249
22	4.0000	1.1093	1.0998
23	4.0000	1.1093	1.0998
24	2.0000	0.5546	0.5499
25	2.0000	0.5546	0.5499
26	4.0000	1.1093	1.0998
27	4.0000	1.1093	1.0998
28	3.0000	0.8319	0.8249
29	3.0000	0.8319	0.8249
30	4.0000	1.1093	1.0998
31	4.0000	1.1093	1.0998
32	3.0000	0.8319	0.8249
33	3.0000	0.8319	0.8249
34	4.0000	1.1093	1.0998
35	4.0000	1.1093	1.0998
36	3.0000	0.8319	0.8249
37	4.0000	1.1093	1.0998
38	4.0000	1.1093	1.0998
39	4.0000	1.1093	1.0998
40	3.0000	0.8319	0.8249
41	4.0000	1.1093	1.0998
42	4.0000	1.1093	1.0998
43	4.0000	1.1093	1.0998
44	4.0000	1.1093	1.0998
45	4.0000	1.1093	1.0998
46	4.0000	1.1093	1.0998
47	1.0000	0.2773	0.2750
48	3.0000	0.8319	0.8249
49	3.0000	0.8319	0.8249
50	4.0000	1.1093	1.0998
51	2.0000	0.5546	0.5499
52	4.0000	1.1093	1.0998
53	4.0000	1.1093	1.0998
54	3.0000	0.8319	0.8249
55	4.0000	1.1093	1.0998
56	4.0000	1.1093	1.0998
57	4.0000	1.1093	1.0998
58	4.0000	1.1093	1.0998
59	4.0000	1.1093	1.0998
60	4.0000	1.1093	1.0998
61	4.0000	1.1093	1.0998
62	3.0000	0.8319	0.8249
63	4.0000	1.1093	1.0998
64	2.0000	0.5546	0.5499
65	4.0000	1.1093	1.0998
66	4.0000	1.1093	1.0998
67	1.0000	0.2773	0.2750
68	4.0000	1.1093	1.0998
69	3.0000	0.8319	0.8249
70	4.0000	1.1093	1.0998
71	2.0000	0.5546	0.5499
72	3.0000	0.8319	0.8249
73	4.0000	1.1093	1.0998
74	3.0000	0.8319	0.8249
75	3.0000	0.8319	0.8249
76	4.0000	1.1093	1.0998
77	4.0000	1.1093	1.0998
78	4.0000	1.1093	1.0998
79	3.0000	0.8319	0.8249
80	3.0000	0.8319	0.8249
81	4.0000	1.1093	1.0998
82	4.0000	1.1093	1.0998
83	4.0000	1.1093	1.0998
84	4.0000	1.1093	1.0998
85	4.0000	1.1093	1.0998
86	4.0000	1.1093	1.0998
87	3.0000	0.8319	0.8249
88	3.0000	0.8319	0.8249
89	4.0000	1.1093	1.0998
90	4.0000	1.1093	1.0998
91	4.0000	1.1093	1.0998
92	3.0000	0.8319	0.8249
93	4.0000	1.1093	1.0998
94	4.0000	1.1093	1.0998
95	4.0000	1.1093	1.0998
96	4.0000	1.1093	1.0998
97	4.0000	1.1093	1.0998
98	3.0000	0.8319	0.8249
99	4.0000	1.1093	1.0998
100	4.0000	1.1093	1.0998
101	4.0000	1.1093	1.0998
102	3.0000	0.8319	0.8249
103	3.0000	0.8319	0.8249
104	3.0000	0.8319	0.8249
105	4.0000	1.1093	1.0998
106	2.0000	0.5546	0.5499
107	3.0000	0.8319	0.8249
108	4.0000	1.1093	1.0998
109	4.0000	1.1093	1.0998
110	3.0000	0.8319	0.8249
111	3.0000	0.8319	0.8249
112	2.0000	0.5546	0.5499
113	4.0000	1.1093	1.0998
114	3.0000	0.8319	0.8249
115	4.0000	1.1093	1.0998
116	4.0000	1.1093	1.0998
117	4.0000	1.1093	1.0998
118	3.0000	0.8319	0.8249
119	2.0000	0.5546	0.5499
120	3.0000	0.8319	0.8249
121	1.0000	0.2773	0.2750
122	3.0000	0.8319	0.8249
123	3.0000	0.8319	0.8249
124	3.0000	0.8319	0.8249
125	4.0000	1.1093	1.0998
126	4.0000	1.1093	1.0998
127	4.0000	1.1093	1.0998
128	4.0000	1.1093	1.0998
129	4.0000	1.1093	1.0998
130	4.0000	1.1093	1.0998
131	4.0000	1.1093	1.0998
132	2.0000	0.5546	0.5499
133	3.0000	0.8319	0.8249
134	4.0000	1.1093	1.0998
135	4.0000	1.1093	1.0998
136	3.0000	0.8319	0.8249
137	3.0000	0.8319	0.8249
138	3.0000	0.8319	0.8249
139	4.0000	1.1093	1.0998
140	3.0000	0.8319	0.8249
141	3.0000	0.8319	0.8249
142	4.0000	1.1093	1.0998
143	4.0000	1.1093	1.0998
144	2.0000	0.5546	0.5499
145	4.0000	1.1093	1.0998
146	4.0000	1.1093	1.0998
147	4.0000	1.1093	1.0998
148	4.0000	1.1093	1.0998
149	3.0000	0.8319	0.8249
150	4.0000	1.1093	1.0998
151	3.0000	0.8319	0.8249
152	4.0000	1.1093	1.0998
153	3.0000	0.8319	0.8249
154	4.0000	1.1093	1.0998
155	4.0000	1.1093	1.0998
156	4.0000	1.1093	1.0998
157	4.0000	1.1093	1.0998
158	4.0000	1.1093	1.0998
159	3.0000	0.8319	0.8249
160	4.0000	1.1093	1.0998
161	2.0000	0.5546	0.5499
162	4.0000	1.1093	1.0998
163	4.0000	1.1093	1.0998
164	4.0000	1.1093	1.0998
165	3.0000	0.8319	0.8249
166	3.0000	0.8319	0.8249
167	4.0000	1.1093	1.0998
168	4.0000	1.1093	1.0998
169	4.0000	1.1093	1.0998
170	4.0000	1.1093	1.0998
171	4.0000	1.1093	1.0998
172	4.0000	1.1093	1.0998
173	2.0000	0.5546	0.5499
174	4.0000	1.1093	1.0998
175	4.0000	1.1093	1.0998
176	4.0000	1.1093	1.0998
177	4.0000	1.1093	1.0998
178	4.0000	1.1093	1.0998
179	3.0000	0.8319	0.8249
180	4.0000	1.1093	1.0998
181	4.0000	1.1093	1.0998
182	4.0000	1.1093	1.0998
183	4.0000	1.1093	1.0998
184	4.0000	1.1093	1.0998
185	4.0000	1.1093	1.0998
186	4.0000	1.1093	1.0998
187	4.0000	1.1093	1.0998
188	4.0000	1.1093	1.0998
189	3.0000	0.8319	0.8249
190	4.0000	1.1093	1.0998
191	4.0000	1.1093	1.0998
192	4.0000	1.1093	1.0998
193	4.0000	1.1093	1.0998
194	4.0000	1.1093	1.0998
195	4.0000	1.1093	1.0998
196	3.0000	0.8319	0.8249
197	2.0000	0.5546	0.5499
198	4.0000	1.1093	1.0998
199	3.0000	0.8319	0.8249
200	3.0000	0.8319	0.8249
201	4.0000	1.1093	1.0998
202	2.0000	0.5546	0.5499
203	3.0000	0.8319	0.8249
204	4.0000	1.1093	1.0998
205	4.0000	1.1093	1.0998
206	4.0000	1.1093	1.0998
207	4.0000	1.1093	1.0998
