Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	8.0000	1.0855	1.0678
2	5.0000	0.6784	0.6674
3	6.0000	0.8141	0.8009
4	8.0000	1.0855	1.0678
5	8.0000	1.0855	1.0678
6	8.0000	1.0855	1.0678
7	7.0000	0.9498	0.9343
8	8.0000	1.0855	1.0678
9	4.0000	0.5427	0.5339
10	8.0000	1.0855	1.0678
11	9.0000	1.2212	1.2013
12	8.0000	1.0855	1.0678
13	7.0000	0.9498	0.9343
14	4.0000	0.5427	0.5339
15	7.0000	0.9498	0.9343
16	7.0000	0.9498	0.9343
17	9.0000	1.2212	1.2013
18	7.0000	0.9498	0.9343
19	4.0000	0.5427	0.5339
20	8.0000	1.0855	1.0678
21	4.0000	0.5427	0.5339
22	9.0000	1.2212	1.2013
23	6.0000	0.8141	0.8009
24	5.0000	0.6784	0.6674
25	7.0000	0.9498	0.9343
26	9.0000	1.2212	1.2013
27	9.0000	1.2212	1.2013
28	9.0000	1.2212	1.2013
29	8.0000	1.0855	1.0678
30	8.0000	1.0855	1.0678
31	9.0000	1.2212	1.2013
32	8.0000	1.0855	1.0678
33	7.0000	0.9498	0.9343
34	6.0000	0.8141	0.8009
35	10.0000	1.3569	1.3348
36	6.0000	0.8141	0.8009
37	6.0000	0.8141	0.8009
38	9.0000	1.2212	1.2013
39	9.0000	1.2212	1.2013
40	8.0000	1.0855	1.0678
41	5.0000	0.6784	0.6674
42	9.0000	1.2212	1.2013
43	8.0000	1.0855	1.0678
44	9.0000	1.2212	1.2013
45	8.0000	1.0855	1.0678
46	8.0000	1.0855	1.0678
47	3.0000	0.4071	0.4004
48	6.0000	0.8141	0.8009
49	6.0000	0.8141	0.8009
50	8.0000	1.0855	1.0678
51	6.0000	0.8141	0.8009
52	7.0000	0.9498	0.9343
53	8.0000	1.0855	1.0678
54	8.0000	1.0855	1.0678
55	8.0000	1.0855	1.0678
56	9.0000	1.2212	1.2013
57	7.0000	0.9498	0.9343
58	7.0000	0.9498	0.9343
59	9.0000	1.2212	1.2013
60	7.0000	0.9498	0.9343
61	9.0000	1.2212	1.2013
62	7.0000	0.9498	0.9343
63	8.0000	1.0855	1.0678
64	7.0000	0.9498	0.9343
65	9.0000	1.2212	1.2013
66	7.0000	0.9498	0.9343
67	3.0000	0.4071	0.4004
68	6.0000	0.8141	0.8009
69	8.0000	1.0855	1.0678
70	9.0000	1.2212	1.2013
71	6.0000	0.8141	0.8009
72	8.0000	1.0855	1.0678
73	7.0000	0.9498	0.9343
74	8.0000	1.0855	1.0678
75	9.0000	1.2212	1.2013
76	8.0000	1.0855	1.0678
77	9.0000	1.2212	1.2013
78	6.0000	0.8141	0.8009
79	8.0000	1.0855	1.0678
80	9.0000	1.2212	1.2013
81	6.0000	0.8141	0.8009
82	9.0000	1.2212	1.2013
83	6.0000	0.8141	0.8009
84	10.0000	1.3569	1.3348
85	7.0000	0.9498	0.9343
86	9.0000	1.2212	1.2013
87	9.0000	1.2212	1.2013
88	7.0000	0.9498	0.9343
89	9.0000	1.2212	1.2013
90	6.0000	0.8141	0.8009
91	6.0000	0.8141	0.8009
92	4.0000	0.5427	0.5339
93	7.0000	0.9498	0.9343
94	7.0000	0.9498	0.9343
95	9.0000	1.2212	1.2013
96	7.0000	0.9498	0.9343
97	9.0000	1.2212	1.2013
98	9.0000	1.2212	1.2013
99	8.0000	1.0855	1.0678
100	9.0000	1.2212	1.2013
101	9.0000	1.2212	1.2013
102	7.0000	0.9498	0.9343
103	6.0000	0.8141	0.8009
104	9.0000	1.2212	1.2013
105	8.0000	1.0855	1.0678
106	8.0000	1.0855	1.0678
107	4.0000	0.5427	0.5339
108	9.0000	1.2212	1.2013
109	9.0000	1.2212	1.2013
110	4.0000	0.5427	0.5339
111	4.0000	0.5427	0.5339
112	7.0000	0.9498	0.9343
113	4.0000	0.5427	0.5339
114	8.0000	1.0855	1.0678
115	7.0000	0.9498	0.9343
116	8.0000	1.0855	1.0678
117	9.0000	1.2212	1.2013
118	7.0000	0.9498	0.9343
119	5.0000	0.6784	0.6674
120	8.0000	1.0855	1.0678
121	3.0000	0.4071	0.4004
122	7.0000	0.9498	0.9343
123	6.0000	0.8141	0.8009
124	5.0000	0.6784	0.6674
125	8.0000	1.0855	1.0678
126	8.0000	1.0855	1.0678
127	9.0000	1.2212	1.2013
128	4.0000	0.5427	0.5339
129	8.0000	1.0855	1.0678
130	9.0000	1.2212	1.2013
131	9.0000	1.2212	1.2013
132	7.0000	0.9498	0.9343
133	5.0000	0.6784	0.6674
134	7.0000	0.9498	0.9343
135	5.0000	0.6784	0.6674
136	8.0000	1.0855	1.0678
137	3.0000	0.4071	0.4004
138	7.0000	0.9498	0.9343
139	8.0000	1.0855	1.0678
140	8.0000	1.0855	1.0678
141	6.0000	0.8141	0.8009
142	9.0000	1.2212	1.2013
143	6.0000	0.8141	0.8009
144	3.0000	0.4071	0.4004
145	6.0000	0.8141	0.8009
146	6.0000	0.8141	0.8009
147	8.0000	1.0855	1.0678
148	6.0000	0.8141	0.8009
149	6.0000	0.8141	0.8009
150	9.0000	1.2212	1.2013
151	10.0000	1.3569	1.3348
152	9.0000	1.2212	1.2013
153	7.0000	0.9498	0.9343
154	10.0000	1.3569	1.3348
155	5.0000	0.6784	0.6674
156	7.0000	0.9498	0.9343
157	9.0000	1.2212	1.2013
158	9.0000	1.2212	1.2013
159	4.0000	0.5427	0.5339
160	9.0000	1.2212	1.2013
161	3.0000	0.4071	0.4004
162	6.0000	0.8141	0.8009
163	6.0000	0.8141	0.8009
164	9.0000	1.2212	1.2013
165	6.0000	0.8141	0.8009
166	4.0000	0.5427	0.5339
167	9.0000	1.2212	1.2013
168	9.0000	1.2212	1.2013
169	7.0000	0.9498	0.9343
170	8.0000	1.0855	1.0678
171	8.0000	1.0855	1.0678
172	8.0000	1.0855	1.0678
173	10.0000	1.3569	1.3348
174	4.0000	0.5427	0.5339
175	8.0000	1.0855	1.0678
176	9.0000	1.2212	1.2013
177	7.0000	0.9498	0.9343
178	9.0000	1.2212	1.2013
179	6.0000	0.8141	0.8009
180	9.0000	1.2212	1.2013
181	8.0000	1.0855	1.0678
182	6.0000	0.8141	0.8009
183	9.0000	1.2212	1.2013
184	5.0000	0.6784	0.6674
185	7.0000	0.9498	0.9343
186	9.0000	1.2212	1.2013
187	6.0000	0.8141	0.8009
188	8.0000	1.0855	1.0678
189	5.0000	0.6784	0.6674
190	9.0000	1.2212	1.2013
191	7.0000	0.9498	0.9343
192	4.0000	0.5427	0.5339
193	9.0000	1.2212	1.2013
194	7.0000	0.9498	0.9343
195	7.0000	0.9498	0.9343
196	6.0000	0.8141	0.8009
197	6.0000	0.8141	0.8009
198	7.0000	0.9498	0.9343
199	4.0000	0.5427	0.5339
200	9.0000	1.2212	1.2013
201	8.0000	1.0855	1.0678
202	6.0000	0.8141	0.8009
203	6.0000	0.8141	0.8009
204	7.0000	0.9498	0.9343
205	9.0000	1.2212	1.2013
206	9.0000	1.2212	1.2013
207	9.0000	1.2212	1.2013
208	9.0000	1.2212	1.2013
209	5.0000	0.6784	0.6674
210	9.0000	1.2212	1.2013
211	9.0000	1.2212	1.2013
212	7.0000	0.9498	0.9343
213	6.0000	0.8141	0.8009
214	5.0000	0.6784	0.6674
215	10.0000	1.3569	1.3348
216	5.0000	0.6784	0.6674
217	6.0000	0.8141	0.8009
218	9.0000	1.2212	1.2013
219	10.0000	1.3569	1.3348
220	6.0000	0.8141	0.8009
221	9.0000	1.2212	1.2013
222	7.0000	0.9498	0.9343
223	8.0000	1.0855	1.0678
224	8.0000	1.0855	1.0678
225	7.0000	0.9498	0.9343
226	5.0000	0.6784	0.6674
227	9.0000	1.2212	1.2013
228	4.0000	0.5427	0.5339
229	8.0000	1.0855	1.0678
230	9.0000	1.2212	1.2013
231	7.0000	0.9498	0.9343
232	9.0000	1.2212	1.2013
233	8.0000	1.0855	1.0678
234	6.0000	0.8141	0.8009
235	9.0000	1.2212	1.2013
236	8.0000	1.0855	1.0678
237	7.0000	0.9498	0.9343
238	9.0000	1.2212	1.2013
239	8.0000	1.0855	1.0678
240	7.0000	0.9498	0.9343
241	4.0000	0.5427	0.5339
242	9.0000	1.2212	1.2013
243	9.0000	1.2212	1.2013
244	8.0000	1.0855	1.0678
245	8.0000	1.0855	1.0678
246	9.0000	1.2212	1.2013
247	7.0000	0.9498	0.9343
248	9.0000	1.2212	1.2013
249	8.0000	1.0855	1.0678
250	8.0000	1.0855	1.0678
251	4.0000	0.5427	0.5339
252	6.0000	0.8141	0.8009
253	8.0000	1.0855	1.0678
254	8.0000	1.0855	1.0678
255	8.0000	1.0855	1.0678
256	8.0000	1.0855	1.0678
257	8.0000	1.0855	1.0678
258	7.0000	0.9498	0.9343
259	5.0000	0.6784	0.6674
260	9.0000	1.2212	1.2013
261	5.0000	0.6784	0.6674
262	7.0000	0.9498	0.9343
263	9.0000	1.2212	1.2013
264	6.0000	0.8141	0.8009
265	7.0000	0.9498	0.9343
266	9.0000	1.2212	1.2013
267	7.0000	0.9498	0.9343
268	9.0000	1.2212	1.2013
269	9.0000	1.2212	1.2013
270	9.0000	1.2212	1.2013
271	7.0000	0.9498	0.9343
272	5.0000	0.6784	0.6674
273	6.0000	0.8141	0.8009
274	7.0000	0.9498	0.9343
275	9.0000	1.2212	1.2013
276	9.0000	1.2212	1.2013
277	8.0000	1.0855	1.0678
278	8.0000	1.0855	1.0678
279	10.0000	1.3569	1.3348
280	9.0000	1.2212	1.2013
281	7.0000	0.9498	0.9343
282	6.0000	0.8141	0.8009
283	10.0000	1.3569	1.3348
284	4.0000	0.5427	0.5339
285	4.0000	0.5427	0.5339
286	7.0000	0.9498	0.9343
287	7.0000	0.9498	0.9343
288	8.0000	1.0855	1.0678
289	6.0000	0.8141	0.8009
290	9.0000	1.2212	1.2013
291	7.0000	0.9498	0.9343
292	7.0000	0.9498	0.9343
293	5.0000	0.6784	0.6674
294	7.0000	0.9498	0.9343
295	5.0000	0.6784	0.6674
296	9.0000	1.2212	1.2013
297	6.0000	0.8141	0.8009
298	7.0000	0.9498	0.9343
299	8.0000	1.0855	1.0678
300	6.0000	0.8141	0.8009
