Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	4.0000	1.1093	1.0998
2	2.0000	0.5546	0.5499
3	3.0000	0.8319	0.8249
4	4.0000	1.1093	1.0998
5	4.0000	1.1093	1.0998
6	4.0000	1.1093	1.0998
7	3.0000	0.8319	0.8249
8	4.0000	1.1093	1.0998
9	2.0000	0.5546	0.5499
10	4.0000	1.1093	1.0998
11	4.0000	1.1093	1.0998
12	4.0000	1.1093	1.0998
13	3.0000	0.8319	0.8249
14	3.0000	0.8319	0.8249
15	3.0000	0.8319	0.8249
16	3.0000	0.8319	0.8249
17	4.0000	1.1093	1.0998
18	4.0000	1.1093	1.0998
19	3.0000	0.8319	0.8249
20	4.0000	1.1093	1.0998
21	2.0000	0.5546	0.5499
22	4.0000	1.1093	1.0998
23	3.0000	0.8319	0.8249
24	3.0000	0.8319	0.8249
25	3.0000	0.8319	0.8249
26	4.0000	1.1093	1.0998
27	4.0000	1.1093	1.0998
28	4.0000	1.1093	1.0998
29	4.0000	1.1093	1.0998
30	4.0000	1.1093	1.0998
31	4.0000	1.1093	1.0998
32	4.0000	1.1093	1.0998
33	3.0000	0.8319	0.8249
34	3.0000	0.8319	0.8249
35	4.0000	1.1093	1.0998
36	3.0000	0.8319	0.8249
37	3.0000	0.8319	0.8249
38	4.0000	1.1093	1.0998
39	4.0000	1.1093	1.0998
40	4.0000	1.1093	1.0998
41	3.0000	0.8319	0.8249
42	4.0000	1.1093	1.0998
43	4.0000	1.1093	1.0998
44	4.0000	1.1093	1.0998
45	4.0000	1.1093	1.0998
46	4.0000	1.1093	1.0998
47	2.0000	0.5546	0.5499
48	3.0000	0.8319	0.8249
49	3.0000	0.8319	0.8249
50	4.0000	1.1093	1.0998
51	3.0000	0.8319	0.8249
52	4.0000	1.1093	1.0998
53	4.0000	1.1093	1.0998
54	4.0000	1.1093	1.0998
55	4.0000	1.1093	1.0998
56	4.0000	1.1093	1.0998
57	3.0000	0.8319	0.8249
58	3.0000	0.8319	0.8249
59	4.0000	1.1093	1.0998
60	4.0000	1.1093	1.0998
61	4.0000	1.1093	1.0998
62	4.0000	1.1093	1.0998
63	4.0000	1.1093	1.0998
