R;P;ASVID;
86b5fb36422e22fdf2deccf1b1f6e45b;0.02287018028308380.242;86b5fb36422e22fdf2deccf1b1f6e45b;
d7c78971850cd1f4e7e796ac0dcf17ff;0.03071401314309410.166;d7c78971850cd1f4e7e796ac0dcf17ff;
4422e967af4fee9bc008e5045d08648e;0.004767043988405340.845;4422e967af4fee9bc008e5045d08648e;
487440a2eef3a14f23605ee165df7e1a;0.01921130234701390.391;487440a2eef3a14f23605ee165df7e1a;
f0f4c02a30b77b64e0873072fa8cf45d;0.001972437547389650.923;f0f4c02a30b77b64e0873072fa8cf45d;
a8c9cd1f5ed21a27f4beb868e6d29bf1;0.03071401314309410.166;a8c9cd1f5ed21a27f4beb868e6d29bf1;
6daff54d6f306704ea8fe8a5fcbab82c;0.001171322815635280.957;6daff54d6f306704ea8fe8a5fcbab82c;
8fbaf590c38e989d0a5a2738a0d4d303;0.003382799996286890.863;8fbaf590c38e989d0a5a2738a0d4d303;
0e8a52108267a78ec7ef16b8fd20833d;0.00189070264740170.942;0e8a52108267a78ec7ef16b8fd20833d;
f6fcb28a6a3b7282dc330cb65d3b52f1;0.003382799996286890.863;f6fcb28a6a3b7282dc330cb65d3b52f1;
2469b03e7beea49636c099a359849fd2;0.01163107378722750.627;2469b03e7beea49636c099a359849fd2;
fe8215dbe57e932328a80299cff997d0;0.03226300228311530.119;fe8215dbe57e932328a80299cff997d0;
943471f226c1a9b6c45ed0a0d71a4775;0.02468230621353420.225;943471f226c1a9b6c45ed0a0d71a4775;
6a116e77ab9d0c5b1c0856228124f2dc;0.001890702647401710.942;6a116e77ab9d0c5b1c0856228124f2dc;
3ed045922cbacfbaf27a31862837c6c8;0.05879415414106430.017;3ed045922cbacfbaf27a31862837c6c8;
7efe7f95e85874c3940c3ac6910a7d4b;0.08245896867275160.008;7efe7f95e85874c3940c3ac6910a7d4b;
8c35083d2bd3985dfb57f38f634716fe;0.0134819221575090.576;8c35083d2bd3985dfb57f38f634716fe;
bf8687095711379672cdebe0892713ad;0.003382799996286890.863;bf8687095711379672cdebe0892713ad;
b997f215711c1e135e5be3d44885c93e;0.01895019090239160.417;b997f215711c1e135e5be3d44885c93e;
a87020f608987f6200037ac9185d369a;0.01163107378722750.627;a87020f608987f6200037ac9185d369a;
4f1fc973eb67aa031a2b2fd1e6dcb37e;0.01329789890099750.492;4f1fc973eb67aa031a2b2fd1e6dcb37e;
ea1e3dcce9081868c6b635c52353bbf3;0.01661744666530010.476;ea1e3dcce9081868c6b635c52353bbf3;
b1d0ce6b5bfd60a9ce122b0c2c9306e1;0.01697370462557710.483;b1d0ce6b5bfd60a9ce122b0c2c9306e1;
a94932954925a433db15734dd9e94ef6;0.03659102141507930.066;a94932954925a433db15734dd9e94ef6;
c8e8ddc4659a6ec5bfc1953e26245f21;0.01163107378722750.627;c8e8ddc4659a6ec5bfc1953e26245f21;
d6fd37cd521cc4163a4435d9b6d79e36;0.008152212239099840.72;d6fd37cd521cc4163a4435d9b6d79e36;
1759347bf6aab32a577eb89790f86079;0.2079113956104860.001;1759347bf6aab32a577eb89790f86079;
7b8999fbf3ad32bdbb8cdc5e7453d5a5;0.01809160637977090.43;7b8999fbf3ad32bdbb8cdc5e7453d5a5;
c38450684342540fc34755af1a6870b7;0.01386957301206310.518;c38450684342540fc34755af1a6870b7;
2219b31990718cd676b494559b5c1ccf;0.01972630269639580.381;2219b31990718cd676b494559b5c1ccf;
fcdf9a788c3fc79f5c3bbacaa591ee43;0.0715584172231320.004;fcdf9a788c3fc79f5c3bbacaa591ee43;
